#dato	#tipo	#sala	#elem	#al entrar
#### Sala 1 ########################################
# Desbloqueo de portal
243	1	1	1	1
244	2	1	1	1

#### Sala 3 #######################################################
#Puerta secreta y sonido...
89	1	3	1	1
90	2	3	1	1
91	5	3	2	0

#### Sala 4 #######################################################
#Puerta secreta y sonido
92	1	4	1	1
93	2	4	1	1
94	5	4	2	0

#### Sala 7 #######################################################
#Bloque sala 7: activar temporizador 1...
1	3	0	1	0

#...interruptor.
2	4	7	2	0

#Llama... desctivar y desactivar.
3	5	7	3	0
4	6	7	3	0

#Sonido palanca
88	5	7	6	0

#Sonidos... al desactivar y on
84	5	7	4	0
85	6	7	5	0

86	6	7	4	0
87	5	7	5	0

#Secreto
95	1	7	7	1
96	2	7	7	1
97	5	7	8	0

#### Sala 5 #######################################################
#Portón...
5	1	5	1	1
6	2	5	1	1
82	5	5	2	0
83	5	5	3	0

#### Sala 8 ########################################################
#Secreto...
98	1	8	1	1
99	2	8	1	1
100	5	8	2	0

#### Sala 10 ########################################################
#Sonido llamas
266	5	10	1	0

#Abrir puerta y sonido
398	1	10	3	1
399	2	10	3	1
400	5	10	4	0

#Mensaje amuleto
401	5	10	5	0

#### Sala 11 ########################################################
#Secreto...
101	1	11	1	1
102	2	11	1	1
103	5	11	2	0

#### Sala 13 #######################################################
#Portón
7	1	13	1	1
8	2	13	1	1

#Lava suelo
9	1	13	2	1
10	2	13	2	1

#Lava paredes
11	2	13	3	1

#Sonidos palanca
267	5	14	1	0
268	5	15	2	0

#### Sala 15 ###################################
#Abrir puerta y sonido
402	1	15	4	1
403	2	15	4	1
404	5	15	5	0

#Mensaje amuleto
405	5	15	6	0

#### Sala 16 #######################################################
#Secreto uno
104	1	16	1	1
105	2	16	1	1

#Secreto dos
106	1	16	2	1
107	2	16	2	1

#Sonido de ambos...
108	5	16	3	0

#Escalera y sonidos
406	5	16	4	0

#### Sala 17 #################################
#Secreto...
543	1	17	1	1
544	2	17	1	1
545	5	17	2	0

#### Sala 19 #######################################################
#Abrir puerta
307	1	19	1	1
308	2	19	1	1
346	5	19	3	0

#Mensaje amuleto
309	5	19	2	0

#### Sala 21 #######################################################
#Llamas plataforma oeste
12	6	21	4	0

#Llamas plataforma este
13	6	21	3	0

#Llamas suelo
14	6	21	2	0

#Puerta
15	1	21	1	1
16	2	21	1	1

# Desbloqueo de portal
245	1	21	5	1
246	2	21	5	1

#Palanca...
269	5	21	6	0
270	5	21	7	0

#Sonidos llamas
271	6	21	8	0
272	6	21	9	0

#### Sala 22 #######################################################
#Puerta y sonido...
17	1	22	1	1
18	2	22	1	1
273	5	22	3	0

#### Sala 24 #######################################################
#Secreto 1
109	1	24	1	1
110	2	24	1	1

#Secreto 2
111	1	24	2	1
112	2	24	2	1

#Sonido de los secretos
113	5	24	3	0

#### Sala 26 #######################################################
#Sonido y screto
114	1	26	1	1
115	2	26	1	1
116	5	26	2	0

#### Sala 27 #######################################################
#Plataforma salto
19	1	27	1	1
20	2	27	1	1

#Plataforma escalera
21	1	27	2	1
22	2	27	2	1

#Sonido y secreto
117	1	27	3	1
118	2	27	3	1
119	5	27	4	0

#Sonido palanca...
274	5	27	7	0

#Puzzle, encender sonido y actor, apagar plancha.
553	5	27	14	0

549	1	27	10	1
550	2	27	11	1
551	5	27	12	0
552	6	27	13	0

#### Sala 28 #######################################################
#Puerta y reja
23	1	28	1	1
24	2	28	1	1
389	6	28	6	0

#Bloque secreto...
25	1	28	2	1
26	2	28	2	1

#Sonido palanca y puerta
275	5	28	5	0

#### Sala 29 #######################################################
#Activar puzzle
321	5	29	2	0

#Abrir puerta + desaparece puzzle + sonido
322	1	29	1	1
323	2	29	1	1
324	6	29	3	0
325	5	29	4	0

#### Sala 30 #######################################################
#Sonido y secreto
120	1	30	1	1
121	2	30	1	1
122	5	30	2	0

#### Sala 31 ###########################################################
#Secreto y sonido
123	1	31	1	1
124	2	31	1	1
125	5	31	2	0

### Sala 32 ########################################################
#Puerta uno
27	1	32	1	1
28	2	32	1	1

#Puerta dos
29	1	32	2	1
30	2	32	2	1

#Puente
31	1	32	4	1
41	2	32	4	1

#Puerta final
32	1	32	3	1
33	2	32	3	1

#Sonidos puerta final...
281	5	32	5	0

#Secreto y sonido
126	1	32	5	1
127	2	32	5	1
128	5	32	6	0

#Activar puzzle
326	5	32	8	0

#Abrir puerta puzzle, sonido y desaparecer plancha
327	1	32	7	1
328	2	32	7	1
329	5	32	9	0
330	6	32	10	0

#Apertura del puzzle.
554	1	32	20	1
555	1	32	21	1
556	2	32	21	1
557	2	32	22	1
558	5	32	23	0
559	6	32	24	0

#Activacion del puzzle.
560	5	32	25	0

#### Sala 33 #######################################################
#Fuego y disparadores...
34	6	33	1	0
35	5	33	2	0

#Sonido palanca y fuego...
276	5	33	5	0
277	6	33	7	0

#Secreto y sonido
130	1	33	3	1
131	2	33	3	1
132	5	33	4	0

#### Sala 34 #######################################################
#Sonido palanca
278	5	34	1	0

#### Sala 35 #######################################################
#Secreto y sonido
133	1	35	1	1
134	2	35	1	1
135	5	35	2	0

#### Sala 36 #######################################################
#Temporizador 4
36	3	0	3	0

#Plataformas...
37	1	36	1	1
38	2	36	1	1

#Disparador: activar y desactivar.
39	5	36	2	0
40	6	36	2	0

#Sonido palanca
279	5	36	3	0

#### Sala 37 #######################################################
#Secreto y sonido

145	1	37	1	1
146	2	37	1	1
147	5	37	2	0

#### Sala 38 ###################################
#Sonido palanca
280	5	38	1	0

#Activar puzzle
566	5	38	14	0

#Abrir puerta, sonido, quitar plancha puzzle
567	1	38	11	1
568	2	38	11	1
569	5	38	12	0
580	6	38	13	0


#### Sala 40 #######################################################
#Puente en tres partes de norte a sur
42	1	40	1	1
43	2	40	1	1
44	1	40	2	1
45	2	40	2	1
46	1	40	3	1
47	2	40	3	1

#Puerta
48	1	40	4	1
49	2	40	4	1

#Sonidos palanca y puerta
282	5	40	5	0

#### Sala 41 ######################################################
#Puerta sótanos...
50	6	41	1	0

#Secreto...
148	1	41	2	1
149	2	41	2	1
150	5	41	3	0

# Desbloqueo de portal
247	1	41	4	1
248	2	41	4	1

# Sonido puerta
283	5	41	5	0

#### Sala 42 ######################################################
#Secreto
154	1	42	1	1
155	2	42	1	1
156	5	42	2	0

#Activar puzzle
331	5	42	4	0

#Abrir puerta
332	1	42	3	1
333	2	42	3	1
334	5	42	6	0
335	6	42	5	0

#### Sala 43 ######################################################
#Secreto
157	1	43	1	1
158	2	43	1	1
159	5	43	2	0

#Activar puzzle
452	5	43	6	0

#Puerta puzzle + desparece plancha y sonido.
453	1	43	3	1
454	2	43	3	1
455	6	43	4	0
456	5	43	5	0

#### Sala 44 ######################################################
#Convierte llama fija en patrón.
51	5	44	1	0
52	6	44	2	0

#Secreto
160	1	44	3	1
161	2	44	3	1
162	5	44	4	0

#### Sala 45 ######################################################
#Temporizador 5...
53	3	0	5	0

#Apagar llama
54	6	45	2	0

#Encender llama e interruptor.
55	5	45	2	0
56	4	45	1	0

#Sonido palanca, puerta, reloj on y off
285	5	45	6	0
286	5	45	7	0
287	5	45	8	0
288	6	45	8	0

#Puerta
57	6	45	3	0

#Secreto
172	1	45	4	1
173	2	45	4	1
174	5	45	5	0

#Activar puzzle
570	5	45	10	0

#Abrir puerta, sonido, desaparece plancha puzzle.
571	1	45	11	1
572	2	45	11	1
573	5	45	12	0
574	6	45	13	0

#### Sala 46 ######################################################
#Puerta
58	1	46	1	1
59	2	46	1	1

#Reja
60	6	46	2	0

#Secreto
175	1	46	3	1
176	2	46	3	1
177	5	46	4	0

#Sonidos palanca y puerta
289	5	46	5	0
290	5	46	6	0

#### Sala 47 ######################################################
#Abrir puertas...
61	6	47	1	0

#Activar disparos.
62	5	47	2	0

#Cerrar puertas
63	5	47	1	0

#Desactivar disparos
64	6	47	2	0

#Sonidos palanca y puerta
291	5	47	3	0

#Activar puzzle
575	5	47	12	0

#Abrir puerta, sonido, plancha
576	1	47	10	1
577	2	47	10	1
578	5	47	11	0
579	6	47	13	0

#### Sala 48 #######################################################
#Abrir puerta
65	1	48	1	1
66	2	48	1	1

#### Sala 49 #######################################################
#Apagar llamas
67	6	49	1	0
292	5	49	7	0

#Secreto
192	1	49	2	1
193	2	49	2	1
194	5	49	3	0

#### Sala 50 #######################################################
#Secretos y sonido...
195	1	50	1	1
196	2	50	1	1

197	1	50	2	1
198	2	50	2	1

#Este apaga además el sonido de la chimenea.
199	1	50	3	1
200	2	50	3	1
293	6	50	5	0

201	5	50	4	0

#### Sala 51 #######################################################
#Puerta
70	1	51	1	1
71	2	51	1	1
295	5	51	4	0

#Secreto
202	1	51	2	1
203	2	51	2	1
204	5	51	3	0

#### Sala 52 #######################################################
#Puerta
72	1	52	1	1
73	2	52	1	1
296	5	52	2	0

#### Sala 53 #######################################################
#Puerta
74	1	53	1	1
75	2	53	1	1
297	5	53	8	0

#Activar temporizador
76	3	0	7	0

#Apagar llamas y activar trampa
77	6	53	2	0
78	5	53	3	0

#Reactivar llamas y apagar trampa. Reactivar palanca.
79	5	53	2	0
80	6	53	3	0
81	4	53	4	0

#Secretos...
205	1	53	5	1
206	2	53	5	1
207	5	53	6	0

208	1	53	7	1
209	2	53	7	1

#Activar puzzle
581	5	53	12	0

#Abrir puerta, sonido, plancha
582	1	53	10	1
583	2	53	10	1
584	5	53	11	0
585	6	53	13	0

#### Sala 54 #################################
#Activar puzzle
479	5	54	2	0

#Abrir puerta, plancha puzzle, sonido
480	1	54	1	1
481	2	54	1	1
482	6	54	3	0
483	5	54	4	0

#### Sala 56 ########################################################
#Secretos y sonido

214	1	56	1	1
215	2	56	1	1

216	1	56	2	1
217	2	56	2	1

218	5	56	3	0

#### Sala 57 ################################################
# Secreto
234	1	57	1	1
235	2	57	1	1
236	5	57	2	0

#### Sala 58 ################################################
#Activar puzzle
586	5	58	12	0

#Abrir puerta, sonido, placa
587	1	58	10	1
588	2	58	10	1
589	5	58	11	0
590	6	58	13	0

#### Sala 59 #######################################
#Secreto
237	1	59	1	1
238	2	59	1	1
239	5	59	2	0

#### Sala 60 ################################
#Secreto
240	1	60	1	1
241	2	60	1	1
242	5	60	2	0

#Activar puzzle
469	5	60	3	0

#Abrir puzzle, desaparece puzzle, sonido...
470	1	60	4	1
471	2	60	4	1
472	6	60	5	0
473	5	60	6	0

#### Sala 75 ########################################################
#Activar escalera
129	5	75	1	0
300	5	75	2	0

#### Sala 76 ########################################################
#Bloques...

136	7	76	1	0
137	7	76	2	0
138	7	76	3	0
139	7	76	4	0
140	7	76	5	0
141	7	76	6	0
142	7	76	7	0
143	7	76	8	0

#Sonido palanca
144	5	76	9	0

#### Sala 79 ########################################################
#Apagar fuegos... con sonido
152	6	79	1	0
153	5	79	2	0
284	6	79	3	0

#### Sala 82 ########################################################
#Puerta 1
163	6	82	1	0

#Activar y desactivar disparadores...
164	5	82	3	0
165	6	82	3	0

#Puerta 2
166	6	82	2	0

#Activar y desactivar llamas
167	5	82	4	0
168	6	82	4	0

#Sonido
169	5	82	5	0

#Temporizadores palancas...
170	3	0	9	0
171	3	0	11	0

#### Sala 84 #########################################################
#Interruptor contacto 1 on: dardos y bloque
178	5	84	2	0
182	2	84	5	0

#Interruptor contacto 1 off
179	6	84	2	0
183	2	84	5	0

#Interruptor contacto 2 on
184	5	84	3	0
185	2	84	6	0

#Interruptor contacto 2 off
186	6	84	3	0
187	2	84	6	0

#Interruptor contacto 3 on
188	5	84	4	0
189	2	84	7	0

#Interruptor contacto 3 off
190	6	84	4	0
191	2	84	7	0

#Abrir puerta...
180	1	84	1	0
181	2	84	1	0
294	5	84	6	0

#### Sala 89 #################################################
# Secreto y sonido
249	1	89	1	1
250	2	89	1	1
251	5	89	2	0

#### Sala 90 #######################################################
# Trampas...

210	5	90	3	0
211	2	90	1	0

212	5	90	4	0
213	2	90	2	0

#### Sala 93 #######################################################
#Trampas: temporizador, dardos, bloque y apaga dardos

#Cambiar aspecto interruptor y activar temporizador...
219	2	93	6	0
220	3	0	13	0

#Activar dardos
221	5	93	3	0

#Desactivar dardos, fuera interruptor y bloques
222	6	93	3	0
223	2	93	6	0
224	1	93	1	0
225	2	93	1	0

#Idem...
226	2	93	5	0
227	3	0	15	0

228	5	93	4	0

229	6	93	4	0
230	2	93	5	0
231	1	93	2	0
232	2	93	2	0
233	5	93	7	0

#Sonido bloques...
298	5	93	9	0

#### Sala 96 ####################################
# Activar portal

252	1	96	1	1
253	2	96	2	1
254	2	96	3	1
255	2	96	4	1
299	5	96	5	0

#### Sala 97 ####################################
# Activar y desactivar plataformas...
256	5	97	1	0
257	6	97	1	0

258	5	97	2	0
259	6	97	2	0

260	5	97	3	0
261	6	97	3	0

262	5	97	4	0
263	6	97	4	0

264	5	97	5	0
265	6	97	5	0

#Encender y apagar sonido plataformas
301	5	97	6	0
302	6	97	6	0


#### Sala 100 #################################
#Activar puzzle
303	5	100	2	0

#Abrir puerta y desaparecer plancha, sonido
304	1	100	1	1
305	2	100	1	1
306	6	100	3	0
320	5	100	4	0

#### Sala 101 ################################
#Secreto y sonido
525	1	101	1	1
526	2	101	1	1
527	5	101	2	0

#Secreto. Cogemos el sonido que ya existe.
528	1	101	3	1
529	2	101	3	1

#### Sala 103 #################################
#Activar puente, dos partes

310	1	103	1	1
311	2	103	1	1

312	1	103	2	1
313	2	103	2	1

314	5	103	3	0

#### Sala 104 #################################
#Activar puzzle

315	5	104	2	0

#Abrir puerta
316	1	104	1	1
317	2	104	1	1
318	6	104	3	0
319	5	104	4	0

#### Sala 106 ################################
#Activar puzzle
591	5	106	12	0

#Abrir puerta, sonido, plancha
592	1	106	10	1
593	2	106	10	1
594	5	106	11	0
595	6	106	13	0

#### Sala 107 #################################
#Bajar rejas
390	6	107	1	0
391	5	107	2	0

#### Sala 109 ################################
#Activar puzzle
596	5	109	12	0

#Abrir puerta, sonido y placa
597	1	109	10	1
598	2	109	10	1
599	5	109	11	0
600	6	109	13	0

#### Sala 110 ################################
#Activar puzzle
442	5	110	2	0

#Abrir puerta puzzle, sonido, plancha puzzle...
443	1	110	1	1
444	2	110	1	1
446	5	110	4	0
447	6	110	3	0

#### Sala 111 #################################
#Secreto y sonido.
530	1	111	10	1
531	2	111	10	1
532	5	111	11	0

#### Sala 112 #################################
#Puerta, sonido, activar llamas
336	1	112	1	1
337	2	112	1	1
338	5	112	2	0

#### Sala 113 ################################
#Activar puzzle
561	5	113	5	0

#Abrir puerta puzzle
562	2	113	1	1
563	1	113	1	1
564	6	113	3	0
565	5	113	4	0

#### Sala 115 ################################
#Puentes y palanca

339	1	115	1	1
340	2	115	1	1
341	1	115	2	1
342	2	115	2	1
343	5	115	3	0

#### Sala 116 ##############################

#Activar puzzle
349	5	116	4	0

#Abrir puerta + desaparece puzzle + sonido
350	1	116	5	1
351	2	116	5	1
352	6	116	6	0
353	5	116	7	0

#### Sala 117 ###############################
#Secreto, sonido y aparecer la marca del secreto y desaparecer antorcha.
539	1	117	11	1
540	2	117	10	1
541	5	117	12	0
542	6	117	13	0

#### Sala 121 ################################
#Secreto y sonido
536	1	121	1	1
537	2	121	1	1
538	5	121	2	0

#### Sala 125 ################################
#Activar puzzle
464	5	125	2	0

#Abrir puerta, desparece puzzle, sonido
465	1	125	1	1
466	2	125	1	1
467	6	125	3	0
468	5	125	4	0

#Secreto
508	1	125	10	1
509	2	125	10	1
510	5	125	11	0

#Secreto
511	1	125	12	1
512	2	125	12	1

#### Sala 126 #############################
#Activar puzzle
437	5	126	2	0

#Abrir puerta, plancha puzzle y sonido
438	1	126	1	1
439	2	126	1	1
440	5	126	4	0
441	6	126	3	0

#Secreto...
513	1	126	10	1
514	2	126	10	1
515	5	126	11	0


#### Sala 128 ##############################
#Abrir puerta...

354	1	128	1	1
355	2	128	1	1

#### Sala 129 ##############################
#Sonido palanca
356	5	129	3	0

#Secreto
516	1	129	10	1
517	2	129	10	1
518	5	129	11	0

#### Sala 130 ##############################
#Activar puzzle
344	5	130	4	0

#Abrir puerta + desaparece puzzle + sonido
345	6	130	5	0
347	6	130	6	0
348	5	130	7	0

#Secreto...
505	1	130	20	1
506	2	130	21	1
507	5	130	22	0

#### Sala 132 ##############################
#Activar temporizador 17, que...
357	3	0	17	0

#Apaga llamas y reja y su sonido y enciende llamas parpadeantes. Encender sonido tictac
358	6	132	1	0
359	6	132	5	0
360	5	132	2	0
366	5	132	8	0

#Reencender llamas y reja y sonido apagar parpadeo y reactivar palanca. Apagar tictac
361	5	132	1	0
362	5	132	5	0
363	6	132	2	0
364	4	132	4	0
367	6	132	8	0

#Activar escalera y sonido. Quitar rejas
365	5	132	3	0
392	6	132	9	0

#### Sala 133 ##############################
#Secreto
502	1	133	1	1
503	2	133	2	1
504	5	133	3	0

#### Sala 134 ##############################
#Abrir puerta y sonido

368	1	134	1	1
369	2	134	1	1
370	5	134	2	0

#### Sala 137 ##############################
#Iniciar temporizador (primero)
378	3	0	19	0

#Apagar llamas 1, encender disparador 1, sonido
371	6	137	1	0
372	5	137	2	0
373	5	137	11	0

#Apagar disparador 1
374	6	137	2	0

#Encender llamas 1, reactivar interruptor 1, sonido
375	5	137	1	0
376	4	137	6	0
377	5	137	11	0

#Iniciar temporizador (segundo)
379	3	0	22	0

#Apagar llamas 2, encender disparador 2
380	6	137	4	0
381	5	137	5	0
382	5	137	11	0

#Apagar disparador 2
383	6	137	5	0

#Encender llamas 2, reactivar interruptor 2, sonido
384	5	137	4	0
385	4	137	7	0
386	5	137	11	0

#Secreto
499	1	137	20	1
500	2	137	20	1
501	5	137	21	0

#### Sala 138 ################################
#Secreto
519	1	138	1	1
520	2	138	1	1
521	5	138	2	0

#### Sala 139 #################################
#Encender escalera
387	5	139	1	0

#### Sala 140 #################################
#Encender escalera y quitar reja
388	5	140	1	0
393	6	140	2	0

#Secreto...
494	1	140	3	1
495	2	140	3	1
496	5	140	4	0

#### Sala 144 #################################
#Abrir puerta
394	1	144	1	1
395	2	144	1	1
396	5	144	3	0

#Mensaje amuleto
397	5	144	2	0

#### Sala 147 ################################
522	1	147	10	1
523	2	147	10	1
524	5	147	11	0

#### Sala 149 #################################
#Desaparecen / desaparecen bloques.... Ojo, no son persistentes.
407	1	149	1	0
408	2	149	1	0

#Sonido
409	5	149	3	0

#Activar temporizador 25
410	3	0	25	0

#### Sala 151 ###############################
#Activar puzzle
474	5	151	2	0

#Abrir puerta, desaparece puzzle, sonido
475	1	151	1	1
476	2	151	1	1
477	6	151	3	0
