#Muro exterior...
#w	h	d	id_sala	cam.est secreta
12	14	30	24	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla 
#Suelos... Plataforma inicial.
*	*	0	2	0	0	0
#*	*	6	1	3	0	0

1	3	7|8	1	0	0	0
2	3	6	1	3	0	0
3|5	1|9	6	1	3	0	0
6|7	8|11	6	1	3	0	1
6|7	15|16	6	1	3	0	1
6	16	7	13	32	0	1
6	17	7	3	7	0	1
4|7	21|22	7	1	3	0	1
2|3	21|26	7	1	3	0	1

#Seccion 1: muro norte, oeste...
3|5	0	7|13	1	4	0	0
2	1|2	7|13	1	4	0	0

#Puerta...
2	3	9|13	1	4	0	1


#Muro real invisible, luego secciones visibles.

2	4|9	7|13	1	0	0	1
2	4|7	7|13	-	4	-	-
2	8	8|13	-	4	-	-
2	9	9|13	-	4	-	-

#Junturas...
2	0	13	1	4	0	0
5	0	6	1	4	0	0

#Muro sur...
2|4	10	7|13	1	67	0	1
5	10	7|13	1	4	0	1


#Pared acantilado... Primero real y luego visible...
5	0|10	0|5	1	0	0	0

5	0|7	0|5	-	4	-	-
5	8|10	0|1	-	4	-	-
5	10	2|3	-	4	-	-

#Seccion 2... Muro oeste primero real, luego visible...
5	11|20	0|13	1	0	0	1
5	11|13	0|13	-	4	-	-
5	14	0|2	-	4	-	-
5	14	5|13	-	4	-	-
5	15	0|3	-	4	-	-
5	15	6|13	-	4	-	-
5	16	0|5	-	4	-	-
5	16	6|13	-	4	-	-
5	17|18	0|13	-	4	-	-
#5	19|20	0|2	-	4	-	-
5	19	4|5	-	4	-	-
5	19|20	6|13 	-	4	-	-

#Seccion 3... Muro acantilado...
7	21|22	0|6	1	4	-	1
4|6	22	0|6	1	4	-	1
3	23|25	0|6	1	4	-	0
1|3	26	0|6	1	4	-	0

#Muro norte y oeste...
2|4	20	8|13	1	4	-	0
1	21|26	8|13	1	4	-	0

#Junturas
1	26	7	1	4	0	0
1	20	13	1	4	0	0

#Nicho entrada...
1	23|25	10|13	0	0	0	0
0	23|25	10|13	1	4	0	0
0	24	9	1	4	0	0
0	24	10|11	0	0	0	0

#Rampa...
#2	25	8	12	35	0	1
#2	24	9	12	35	0	1
#2	24	8	3	4	0	1
#2	23	8|9	3	4	0	1

#1	26	10|13	-	-	-	1
#0	24|25	10|13	-	-	-	1

#Decoración techo...
2|5	0	13	-	66	-	-
2	1|9	13	-	66	-	-
2|4	10	13	-	67	-	-
5	10	13	-	66	-	-
5	11|20	13	-	66	-	-
1|4	20	13	-	66	-	-
1	21|22	13	-	66	-	-
0	23|25	13	-	66	-	1
0	26	13	-	67	-	-
1	26	13	-	66	-	1

1	26	10|12	-	-	-	1
0	23|25	12	-	-	-	1

#Decoracion acantilado...
5	0|18	0	-	38	-	-
7	21|22	0	-	38	-	-
4|6	22	0	-	38	-	-
3	23|26	0	-	38	-	-
1|2	26	0	-	38	-	-

5	0|18	1|2	-	10	-	-
7	21|22	1|2	-	10	-	-
4|6	22	1|2	-	10	-	-
3	23|26	1|2	-	10	-	-
1|2	26	1|2	-	10	-	-

5	0|18	3	-	68	-	-
7	21|22	3	-	68	-	-
4|6	22	3	-	68	-	-
3	23|26	3	-	68	-	-
1|2	26	3	-	68	-	-

#Decoraciones muros...

5	0	5|12	-	55	-	-
5	10	7|12	-	55	-	-
5	20	6|12	-	55	-	-
2	2	10	-	69	-	-
2	4	10	-	69	-	-
2	6	10	-	69	-	-
5	4	4	-	69	-	-
6	11	5	-	17	-	-
5	12	10	-	69	-	-
5	14	10	-	69	-	-
5	16	10	-	69	-	-
5	18	10	-	69	-	-
3	20	10	-	69	-	-

#Secreto 1
4	0	7	-	163	1	-
4	0	6	1	3	-	0
5	0	7|13	-	-	-	1
4	0	8|9	1	162	-	1

#Secreto 2
5	11|19	8	-	55	-	-
5	17	8	-	54	2	-
4	17	8	1	-	-	-

#Plataformas bonus inferiores...
8	22	2	1	17	-	1
9	22|23	2	1	93	-	1
4	23|26	2	1	17	-	1
4	23|26	7	1	3	-	1

#Salida sur
1|2	27	4	1	18	-	1
0	27	4	1	93	-	1
0	26	*	1	-	-	-

################################################################################
[F]
################################################################################

#Entradas
1	37	54	112	1
1	4	386	160	2
1	66	4	112	3
1	87	274	128	4
1	4	434	80	5

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	32	48	112	1	16	1	3	22
2	0	384	160	1	16	1	1	25
2	64	0	112	16	1	1	1	68
2	80	272	128	1	16	1	1	69
2	0	432	80	1	16	1	1	155

#Marcas salidas
14	0	432	80	113


#Sonido secretos
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	56	128	127	0	0	0	3

#Escalera
#tipo	x	y	z	h	orient	flags	activa	id
10	32	388	128	32	8	3	1	0

14	32	388	128	65
14	32	388	144	65
14	32	388	160	66
14	32	395	160	66

#Escalera...
10	128	353	48	80	8	3	1	0
14	128	353	48	65
14	128	353	64	65
14	128	353	80	65
14	128	353	96	65
14	128	353	112	65
14	128	353	128	66
14	128	360	128	66

#Escalera
10	35	432	80	48	1	3	1	0
14	35	432	80	63
14	35	432	96	63
14	35	432	112	63
14	35	432	128	64
14	41	432	128	64

#Sonido ambiente viento
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	3	59	32	127	1000	500	1	0

################################################################################
[F]
################################################################################

#Interruptores secretos
#tipo	x	y	z	w	h	d	cadena	secreto t.cond	cadena.cond
8	64	16	112	16	16	1	112	1	0	0
8	96	270	128	1	16	16	114	1	0	0

#Bonus
14	68	416	48	4
14	69	408	48	4
14	67	398	48	105
14	70	390	48	4
