#Sala acceso fin zona 2..
#w	h	d	id_sala	cam.est secreta
17	9	20	29	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla 

*	*	0	2	0	0	0

#Plataforma este.

13|15	8|11	4	1	4	0	1
13|15	12	4	3	4	0	1
13|15	13	4	12	35	0	1
13|15	13	3	3	4	0	1
13|15	14	3	12	35	0	1
13|15	14	2	3	4	0	1
13|15	15	2	12	35	0	1
13|15	15|18	1	3	4	0	1

#Muros este. Primero reales, luego visibles.
13|15	7	*	1	0 	0	1
13|15	7	5	-	3	-	-

12	8|19	*	1	0	0	1
12	8|12	5	-	3	-	-
12	13	4	-	3	-	-
12	14	3	-	3	-	-
12	15|18	2	-	3	-	-
15	15	1	-	102	-	-
15	14	2	-	102	-	-
15	13	3	-	102	-	-



12	13	5	1	97	0	1
12	14	4	1	97	0	1
12	15	3	1	97	0	1

#Junturas... Este
12	7	5	-	3	-	0
15	7	4	-	3	-	0
12	18	1	-	3	-	0

#Plataforma central
6|10	15|19	1	1	58	-	0
7|9	15|19	1	-	1	-	-

8	16	2	12	35	-	1
8	15	2	3	4	-	1
8	14	3	12	35	-	1
8	13	3	3	4	-	1
8	12	4	12	35	-	1
8	11	4	3	4	-	1
8	1|10	4	1	4	-	1

8	14	2	-	102	-	-
8	12	3	-	102	-	-

8	10	3	-	103	-	-
8	9	3	-	4	-	-
8	8	3	-	102	-	-
8	9	2	-	76	-	-
8	9	1	-	20	-	-
8	9	0	-	37	-	-

8	5	3	-	103	-	-
8	4	3	-	4	-	-
8	3	3	-	102	-	-
8	4	2	-	76	-	-
8	4	1	-	20	-	-
8	4	0	-	37	-	-

#Muro norte y puerta...
5|11	0	0|8	1	2	-	1
5|11	0	0	1	99	-	-
5|11	0	8	1	100	-	-

8	0	5|6	1	57	1	-
8	0	4	-	4	-	-

#Plataforma oeste.
1|3	8|11	4	1	4	0	0
1|3	12	4	3	4	0	0
1|3	13	4	12	35	0	0
1|3	13	3	3	4	0	0
1|3	14	3	12	35	0	0
1|3	14	2	3	4	0	0
1|3	15	2	12	35	0	0
1|3	15|18	1	3	4	0	0

#Muros oeste. Primero reales, luego visibles.
1|3	7	*	1	0	0	0
1|3	7	5	-	3	-	-

4	8|19	*	1	0	0	0
4	8|12	5	-	3	-	1
4	13	4	-	3	-	1
4	14	3	-	3	-	1
4	15|18	2	-	3	-	1
4	15	2	-	101	-	1
4	14	3	-	101	-	1
4	13	4	-	101	-	1

4	13	5	1	97	0	1
4	14	4	1	97	0	1
4	15	3	1	97	0	1

#Muro invisible este y puerta
16	*	*	1	0	0	0
16	10	4	1	4	0	1
16	10	5|6	0	0	0	0

#Junturas oeste
4	7	5	1	3	0	0
4	18	1	1	3	0	0

#Muro invisible sur y puertas
*	19	*	1	0	0	0
14	19	1	1	4	0	1
14	19	2|3	0	0	0	0

7|9	19	1	1	1	0	0
7|9	19	2|3	0	0	0	0

2	19	1	1	4	0	0
2	19	2|3	0	0	0	0

#Muro oeste y puertas...
0	7	6|8	1	3	0	0
0	8|12	5|8	1	3	0	0
0	13	4|8	1	3	0	0
0	14	3|8	1	3	0	0
0	15|18	2|8	1	3	0	0
0	18	1	1	3	0	0
0	7|8	6	-	63	-	-
0	12|18	6	-	63	-	-

0	10	4	1	4	0	0
0	10	5|6	0	0	0	0
0	11	5|7	-	81	0	1
0	10	7	-	81	0	1

#Adornos
3	8	0	-	37	-	0
3	8	1|2	-	20	-	0
3	11	0	-	37	-	0
3	11	1|2	-	20	-	0

15	9	0	-	37	-	0
15	9	1|3	-	20	-	0
15	12	0	-	37	-	0
15	12	1|3	-	20	-	0

################################################################################
[F]
################################################################################

#Entradas
1	260	164	80	1
1	228	308	32	2
1	34	308	32	3
1	4	164	80	4
1	133	308	32	5
1	133	4	80	6

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	271	160	80	1	16	1	2	28
2	224	319	32	16	1	1	3	21
2	32	319	32	16	1	1	4	21
2	0	160	80	1	16	1	2	39
2	112	319	32	48	1	1	6	21
2	128	0	80	16	1	1	1	40

#Marcas salidas
14	280	160	80	111
14	224	328	32	112
14	32	328	32	112
14	128	328	32	112


#Rejas
14	95	288	32	20
14	95	272	32	20
14	95	256	32	20
14	95	240	32	20

14	176	288	32	20
14	176	272	32	20
14	176	256	32	20
14	176	240	32	20

14	96	240	32	21
14	112	240	32	21
14	144	240	32	21
14	160	240	32	21


#Sonido puerta
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	51	127	127	0	0	0	4

################################################################################
[F]
################################################################################

#Puzzle
#tipo	x	y	z	id_puz	id_cad	id
20	0	0	0	2	331	2

#19 - Interruptor invisible repetible
#tipo	x	y	z	w	h	d	id_on	id_off	t.cond	c.cond
19	128	16	80	16	16	1	330	330	0	0

#Plancha puzzle
#tipo	x	y	z	id	t.actor	patron	paso	activo	id_on	id_off
5	131	16	88	3	100	1	0	1	0	0
