#Hub jardines...
#w	h	d	id_sala	cam.est secreta
21	10	24	32	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0 
*	*	0	5	0	0	0

##Suelos...

#Agua... Primero zona baja y luego alta.
5|19	1	3	5	79	-	-
5|19	22	3	5	79	-	-
6	2|4	3	5	79	-	-
12	2|4	3	5	79	-	-
6	17|21	3	5	79	-	-
12	17|21	3	5	79	-	-

##alta
1|4	1	5	5	79	-	-
1|4	22	5	5	79	-	-
1	2|21	5	5	79	-	-
2|4	7|16	5	5	79	-	-

#caidas...
4	1	4|5	1	80	-	-
4	7|16	0|5	1	80	-	-
4	22	4|5	1	80	-	-
6	4	0|3	1	80	-	-
12	4	0|3	1	80	-	-
4	16	0|2	0	0	-	-

#Hierba, baja y alta...
5	2|4	4	1	13	-	1
7|11	2|4	4	1	13	-	1
13|14	2|4	4	1	13	-	1

15|19	2|16	4	1	13	-	1
5	17|21	4	1	13	-	1
7|11	17|21	4	1	13	-	1
13|19	17|21	4	1	13	-	1

##alta...

2|4	2|6	6	1	13	-	1
2|4	17|21	6	1	13	-	1

#Muros invisibles: este y perimetro interior...
20	*	*	1	0	-	-
20	19	4	1	85	-	1
20	19	5|6	0	0	-	-

20	3	4	1	85	-	1
20	3	5|6	0	0	-	-

20	10	4	1	85	-	1
20	10	5|6	0	0	-	1

19	9	5|6	1	56	-	1
19	11	5|6	1	56	-	1
19	9|11	7	1	58	-	1
19	10	5|6	1	57	3	1

#Muro norte y oeste...
1|4	0	6|9	1	3	-	-
5|19	0	4|9	1	3	-	-
0	0	9	1	3	-	-

0	1|22	6|9	1	3	-	1

1|19	0	8	-	63	-	-
0	1|22	8	-	63	-	-

1|19	0	6	-	63	-	-
0	1|22	6	-	63	-	-

#Puertas muro oeste...
0	3	7|8	0	0	-	-
0	3	6	1	85	-	-

0	19	7|8	0	0	-	-
0	19	6	1	85	-	-

#Cataratas norte y oeste
9	0	4|6	-	80	-	-
9	0	7	-	0	-	-

15	0	4|6	-	80	-	-
15	0	7	-	0	-	-

0	6|16	5	-	80	-	-
0	6|16	6|9	-	0	-	-

#Muros abismo oeste...
4	2|4	5	1	10	-	-
4	5|6	0|5	1	10	-	-
#4	15|16	0|5	1	10	-	-
4	17|21	5	1	10	-	-

4	5|6	0	-	38	-	-
#4	15|16	0	-	38	-	-

#Muros abismo norte
5	4	0|3	1	10	-	-
7|11	4	0|3	1	10	-	-
13|14	4	0|3	1	10	-	-

5	4	0	-	38	-	-
7|11	4	0	-	38	-	-
13|14	4	0	-	38	-	-

#Plataforma central...
8|10	11	3|4	1	4	-	1
10	9|10	3|4	1	4	-	1

9|10	11	2	-	68	-	-
10	9|10	2	-	68	-	-

9|10	11	1	-	10	-	-
10	9|10	1	-	10	-	-

9|10	11	0	-	38	-	-
10	9|10	0	-	38	-	-

8	9|10	5	3	4	-	1
10	9|10	5	3	4	-	1
8|10	9	6	3	4	-	1

8	11	5	12	35	-	1
10	11	5	12	35	-	1

8	10	6	12	35	-	1
10	10	6	12	35	-	1

9	10|11	5|6	1	4	-	1
9	11	7	3	4	-	1
9	10	7	13	36	-	1

#Puente plataforma...
8|10	13|16	4	0	0	4	1
8|10	12	4	1	4	-	1

#Rampas subida
5	3	5	11	34	-	1
4	3	6	11	34	-	1
4	3	5	3	-	-	1
3	3	6	3	-	-	1

5	19	5	11	34	-	1
4	19	6	11	34	-	1
4	19	5	3	-	-	1
3	19	6	3	-	-	1

#Caminos y puentes...
6|19	19	4	1	85	-	1
12	19	4	1	86	-	1
6	19	4	1	86	-	1

17	4|18	4	1	85	-	1

6|19	3	4	1	85	-	1
12	3	4	1	86	-	1
6	3	4	1	86	-	1

1|3	19	6	-	85	-	1
1	19	6	1	86	-	1

1|3	3	6	-	85	-	-
1	3	6	1	86	-	1

18|19	10	4	1	85	-	1

9	17|18	4	1	85	-	1

#Puertas... Primero un bloqueo vertical.. luego marco y puerta.
7|11	17	7|9	1	0	0	0

7	17	5|6	1	56	0	1
11	17	5|6	1	56	0	1
7|11	17	7	1	58	0	1

8	17	5|6	1	41	1	1
9	17	5|6	1	10	1	1
10	17	5|6	1	42	1	1

8	12	5|6	1	41	2	1
9	12	5|6	1	10	2	1
10	12	5|6	1	42	2	1
8|10	12	7	1	58	0	1

#Fixes profundidad
4	20	5	-	153	-	1
4	6	5	-	153	-	-

#Secreto
4	4	5	1	152	5	1
4	5|6	5	-	-	-	1
4	4	4	1	13	-	0
3	4	5	1	-	-	-

#Puente acceso puzzle
#3|4	1	6	1	15	-	1
#7|8	1	6	1	93	-	1

11|13	1	6	1	93	-	1

#Puerta puzzle...
11|13	0	7|9	-	4	-	-

12	0	7|8	1	57	7	-

13	0	7|8	-	162	-	1
12|13	0	9	-	266	-	1

#Islote cofre...
1|2	11|12	6	1	83	-	1

#Fix catarata letal...
4	7|16	5	5	-	-	-

#Muro sur 
*	23	*	1	-	-	-

8	22	4	-	-	21	1
8	23	4	-	-	22	1
8	23	5	1	-	20	1

4	21	5	-	48	-	-
################################################################################
[F]
################################################################################

#Entradas
1	324	308	80	1
1	4	308	112	2
1	4	52	112	3
1	324	52	80	4
1	324	164	80	5
1	69	66	80	6
1	196	4	112	7
1	130	373	80	9

#Entrada punto guardado
1	243	181	80	8

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	335	304	80	1	16	1	2	31
2	0	304	112	1	16	1	1	33
2	0	48	112	1	16	1	1	35
2	335	48	80	1	16	1	1	37
2	335	160	80	1	16	1	1	39
2	64	64	80	1	16	1	1	74
2	192	0	112	16	1	1	1	107
2	128	383	80	16	1	1	1	198

#Marcas salida
14	344	304	80	111
14	344	48	80	111
14	344	160	80	111

#Lamparas...

14	210	291	80	22
14	210	323	80	22

#14	210	36	80	22
#14	210	67	80	22

14	33	291	112	22
14	33	323	112	22

14	33	36	112	22
14	33	67	112	22

14	306	291	80	22
14	306	323	80	22

14	306	36	80	22
14	306	67	80	22

14	114	291	80	22
14	114	323	80	22

#14	114	36	80	22
#14	114	67	80	22

14	179	291	80	22
14	179	323	80	22

#14	179	36	80	22
#14	179	67	80	22

#Sonido secreto
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	56	128	127	0	0	0	6

#Sonido ambiente agua y pájaros
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	2	64	64	127	0	0	1	0
4	0	0	0	2	65	64	127	0	0	1	0
4	0	0	0	3	52	32	127	1000	500	1	0
4	0	0	0	3	53	32	127	1000	500	1	0

#Sonido palanca y puerta
4	0	0	0	1	50	64	127	0	0	0	5
4	0	0	0	1	51	64	127	0	0	0	5

#Sonido puerta
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	51	127	127	0	0	0	9
4	0	0	0	1	51	127	127	0	0	0	23

#Rejas palanca
14	128	208	128	31
14	144	208	128	31
14	160	208	128	31

#Plancha cofre y rejas
14	24	184	112	33
14	16	176	112	2
14	16	192	112	2
14	16	176	112	3
14	32	176	112	3
14	16	208	112	3
14	32	208	112	3

#Punto guardado
#tipo	x	y	z	id_entrada
14	240	160	80	25
21	243	163	84	8

################################################################################
[F]
################################################################################

#Interruptores secretos
#tipo	x	y	z	w	h	d	cadena	secreto t.cond	cadena.cond
8	80	64	80	1	16	16	129	1	0	0

#Palanca
#tipo	x	y	z	cadena	id	t.cond	cadena.cond
7	149	196	128	37	0	0	0

#Alternadores... 
#tipo	x	y	z	id	t.actor	patron	paso	activo
#5	130	208	80	4	1	1	0	1
#5	146	208	80	4	1	1	0	1
#5	162	208	80	4	1	1	0	1

#5	130	224	80	4	1	1	0	1
#5	146	224	80	4	1	1	0	1
#5	162	224	80	4	1	1	0	1

#5	130	240	80	4	1	1	0	1
#5	146	240	80	4	1	1	0	1
#5	162	240	80	4	1	1	0	1

#Puzzle
#tipo	x	y	z	id_puz	id_cad	id
20	0	0	0	3	336	8
20	0	0	0	20	588	25

#19 - Interruptor invisible repetible
#tipo	x	y	z	w	h	d	id_on	id_off	t.cond	c.cond
19	192	16	112	16	16	1	335	335	0	0
19	80	336	80	1	16	16	594	594	0	0

#Plancha puzzle
#tipo	x	y	z	id	t.actor	patron	paso	activo	id_on	id_off
5	196	16	120	10	100	1	0	1	0	0
5	80	339	83	24	101	1	0	1	0	0

#Cofre
#tipo	x	y	z	id_pz.	abierto
6	28	189	116	4	[0]

#Marca salida
#tipo	x	y	z	id	t.actor	patron	paso	activo	id_on	id_off
5	128	394	80	23	112	1	0	0	0	0
