#Sala entrada.
#w	h	d	id_sala	cam.est secreta
17	12	10	41	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel...
14|16	2	0	1	4	-	-

14|16	3	1	13	36	-	-
14|16	4	1	3	-	-	-
14|16	4	2	13	36	-	-

4|16	5|8	2	1	4	-	-
7|9	4	2	1	4	-	-
14|16	5	2	3	-	-	-

10	4	3	10	21	-	-
11	4	4	10	21	-	-
12	4	5	10	21	-	-
13	4	6	10	106	-	1
11	4	3	3	2	-	-
12	4	4	3	2	-	-
13	4	5	3	2	-	-

7	4	3	11	22	-	-
6	4	4	11	22	-	-
5	4	5	11	22	-	-
4	4	6	11	107	-	1
6	4	3	3	2	-	-
5	4	4	3	2	-	-
4	4	5	3	2	-	-

1|16	1|3	6	1	58	-	1
1|3	4	6	1	58	-	1
14|16	4	6	1	58	-	1
3	4	6	3	-	-	-
14	4	6	3	-	-	-

1	5	7	13	36	-	-
1	6	8	13	36	-	-

2|3	5|6	8	1	4	-	1
1|3	7|8	8	1	4	-	1

1	6	7	3	2	-	-
1	7	8	3	-	-	-


#Muro norte y oeste
1|16	0	7|11	1	111	-	-
1|16	0	7	-	110	-	-
1|16	0	11	1	115	-	-

0	1|5	7|11	1	111	-	-
0	1|5	7	-	110	-	-

0	6	8|11	1	111	-	-
0	7|8	9|11	1	111	-	-
0	1|8	11	1	115	-	-

#Puertas norte
2	0	6	1	58	-	-
2	0	7|8	0	0	-	-
3	0	7	-	105	-	1
3	0	8|10	-	112	-	1
2	0	9|10	-	112	-	1
2	0	9	-	116	-	1

14	0	6	1	58	-	-
14	0	7|8	0	0	-	-
15	0	7	-	105	-	1
14	0	9|10	-	112	-	1
15	0	8|10	-	112	-	1
14	0	9	-	116	-	1

#Muro invisible sur
*	9	*	1	0	-	-
8	9	2	1	4	-	-
8	9	3|4	0	-	-	

#Muros invisibles plataformas...
2	5|6	7	1	0	-	-
14|16	4	4|5	1	0	-	-

#Muros plataformas
#	Oeste
3	5|8	3|7	1	2	-	1

#	Escaleras
4	4	3|4	1	2	-	-
5	4	3	1	2	-	-

5	3	5	1	2	-	-
6	3	4|5	1	2	-	-
7|10	3	3|5	1	2	-	-
11	3	4|5	1	2	-	-
12	3	5	1	2	-	-

12	4	3	1	2	-	-
13	4	3|4	1	2	-	-

#Bajada
13	4	2	1	2	-	-
13	2|3	1|5	1	12	-	-

14|16	1	1|5	1	12	-	-
15	1	1|2	0	0	-	-
15	1	0	1	4	-	-

15|16	1	1|5	-	-	-	1
15	0	1|5	1	0	-	-

#Junturas
