#Sala trono.
#w	h	d	id_sala	cam.est secreta
12	10	17	42	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel
6	3|4	0	1	2	-	-
6	6|15	1	1	118	-	-
6	15	1	1	117	-	-
6	6	1	1	119	-	-

1|2	1|15	2	1	4	-	-
3|5	6|15	2	1	4	-	-

10|11	1|15	2	1	4	-	-
7|9	6|15	2	1	4	-	-

3|4	1|5	3	1	3	-	1
5|7	4|5	3	1	3	-	1
8|9	1|5	3	1	3	-	1

5|7	1|3	4	1	63	-	1

#Topes y rampas
6	5	1	13	24	-	0
6	6	1	3	-	-	0

5	6|15	2	11	34	-	0
4	6|15	2	3	-	-	0

7	6|15	2	10	33	-	0
8	6|15	2	3	-	-	0

3	2	3	10	33	-	1
4	2	3	3	-	-	1

9	2	3	11	34	-	1
8	2	3	3	-	-	1

6	4	4	12	35	-	1
6	3	4	3	-	-	1

#Muros...
5	5	1|2	1	2	-	-
7	5	1|2	1	2	-	-

#Muro secreto...
6	5	2	1	2	1	-
6	4	1|2	1	-	-	-

#Muros Norte y Oeste
1|2	0	3|9	1	111	-	-
3|4	0	4|9	1	111	-	-
5|7	0	5|9	1	111	-	-
8|9	0	4|9	1	111	-	-
10|11	0	3|9	1	111	-	-

1|11	0	9	1	115	-	-
1|2	0	3	1	110	-	-
10|11	0	3	1	110	-	-

0	1|15	3|9	1	111	-	-

0	1|15	9	1	115	-	-
0	1|15	3	1	110	-	-

0	14	3|4	1	57	3	-
0	14	5|9	-	-	-	1
0	15	3|9	-	-	-	1
0	14	2	1	4	-	-

#Junturas
0	0	9	1	3	-	-
11	0	2	1	4	-	-
0	15	2	1	4	-	-
5	15	1	1	4	-	-
7	15	1	1	4	-	-

#Muro invisible sur
*	16	*	1	0	-	-
6	16	1	1	1	-	-
6	16	2|3	0	0	-	-

#Columnas
3	7	3	1	55	-	1
3	7	4|8	1	56	-	1
3	7	9	1	58	-	1

9	7	3	1	55	-	1
9	7	4|8	1	56	-	1
9	7	9	1	58	-	1

3	13	3	1	55	-	1
3	13	4|8	1	56	-	1
3	13	9	1	58	-	1

9	13	3	1	55	-	1
9	13	4|8	1	56	-	1
9	13	9	1	58	-	1

3	1	4	1	55	-	1
3	1	5|8	1	56	-	1
3	1	9	1	58	-	1

9	1	4	1	55	-	1
9	1	5|8	1	56	-	1
9	1	9	1	58	-	1

#Arcos
3	12	9	1	60	-	1
3	9|11	9	1	61	-	1
3	8	9	1	62	-	1

9	12	9	1	60	-	1
9	9|11	9	1	61	-	1
9	8	9	1	62	-	1

3	6	9	1	60	-	1
3	3|5	9	1	61	-	1
3	2	9	1	62	-	1

9	6	9	1	60	-	1
9	3|5	9	1	61	-	1
9	2	9	1	62	-	1

#Ventanas...
0	13	6	-	114	-	-
0	13	7	-	113	-	-

0	8	6	-	114	-	-
0	8	7	-	113	-	-

0	3	6	-	114	-	-
0	3	7	-	113	-	-

##############################################################################
[F]
################################################################################
#Entradas
1	99	260	32	1
1	99	84	29	2
1	4	228	48	3

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	96	271	32	16	1	1	2	41
2	96	80	24	16	1	1	1	79
2	0	224	48	1	16	1	1	115

#Marcas salidas
14	96	280	32	112

#Trono
14	100	32	80	28
14	100	32	90	29

#Lamparas...
14	53	224	150	38

14	150	224	150	38

14	64	213	150	38

14	64	116	150	38

14	64	20	150	38

#Sonido secreto
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	56	128	127	0	0	0	2

#Sonido puerta
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	51	127	127	0	0	0	6

################################################################################
[F]
################################################################################

#Interruptores secretos
#tipo	x	y	z	w	h	d	cadena	secreto t.cond	cadena.cond
8	96	96	32	16	16	1	160	1	0	0

#Cofre
6	82	20	80	3

#Puzzle
#tipo	x	y	z	id_puz	id_cad	id
20	0	0	0	4	341	4

#19 - Interruptor invisible repetible
#tipo	x	y	z	w	h	d	id_on	id_off	t.cond	c.cond
19	16	224	48	1	16	16	340	340	0	0

#Plancha puzzle
#tipo	x	y	z	id	t.actor	patron	paso	activo	id_on	id_off
5	16	227	54	5	101	1	0	1	0	0
