#Escalera entre plantas 0 y 1.
#w	h	d	id_sala	cam.est secreta
14	12	12	43	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel
1|5	1|2	0	1	58	-	-
11|12	1|2	0	1	58	-	-
1|12	3|10	0	1	58	-	-

6|7	1|2	1|3	1	4	-	1
1|2	1|2	6	1	2	-	1

1|2	6|7	9	1	2	-	1
2	8	9	1	2	-	1

#Columnas
4	4	1	1	55	-	1
4	4	2|10	1	56	-	1
4	4	11	1	58	-	2

9	4	1	1	55	-	1
9	4	2|10	1	56	-	1
9	4	11	1	58	-	2

4	7	1	1	55	-	1
4	7	2|6	1	56	-	1
4	7	7	1	58	-	1

9	7	1	1	55	-	1
9	7	2|4	1	56	-	1
9	7	5	1	4	-	1

#Railes y planchas
5|8	4	0	-	89	-	-
5|8	7	0	-	89	-	-

1|3	4	0	-	59	-	-
1|3	7	0	-	59	-	-

10|12	4	0	-	59	-	-
10|12	7	0	-	59	-	-

#Tapas y decoraciones...
9	2	1	-	4	-	-
8	2	1	1	4	-	1
8	2	2	-	4	-	-

0	0	11	-	3	-	-
12	0	0	-	58	-	-
0	10	0	-	58	-	-

5	2	3	1	120	-	1
4	2	4	1	120	-	1
#2	2	5	1	120	-	1

2	3	6	1	121	-	1
2	4	7	1	121	-	1
2	5	8	1	121	-	1

#Muro norte y oeste
*	0	*	1	-	-	-
0	*	*	1	-	-	-

1	0	1	-	3	-	-
1|2	0	7|11	-	3	-	-
3	0	6|11	-	3	-	-
4	0	5|11	-	3	-	-
5|7	0	4|11	-	3	-	-
8	0	3|11	-	3	-	-
9	0	2|11	-	3	-	-
10|12	0	1|11	-	3	-	-

0	1	1|2	-	3	-	-
0	2	1|3	-	3	-	-
0	3|6	1|4	-	3	-	-

0	1|3	7|11	-	3	-	-
0	4	8|11	-	3	-	-
0	5	9|11	-	3	-	-
0	6	10|11	-	3	-	-

0	7|10	1|11	-	3	-	-

0	1|10	1	-	110	-	-
0	1|10	2	-	111	-	-
0	1|10	3	-	115	-	-

1|12	0	1	-	110	-	-
1|12	0	2	-	111	-	-
1|12	0	3	-	115	-	-

7	0	3	-	4	-	-
6	0	4|6	-	4	-	-
7|8	0	7	-	123	-	1
7|8	0	4|6	-	162	-	1
8	0	3	-	4	-	-
7	0	4|5	1	57	3	-

#Muro sur
*	11	*	1	-	-	-
4	11	0	1	58	-	-
4	11	1|2	0	-	-	-

#Muro oeste
13	*	*	1	-	-	-
13	5|6	0	1	58	-	-
13	5|6	1|2	0	0	-	-

#Muros invisibles arriba
1	8	10|11	1	-	-	-
