#Sala lava -1.
#w	h	d	id_sala	cam.est secreta
25	16	16	45	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Plataformas por nivel
16|24	2|4	0	4	45	-	-
16	5	0	4	45	-	-

17|24	5	1	1	3	-	-
21	3	1	1	20	-	1

21	3	2	1	59	-	1

11|12	1	2	4	45	-	-
9|13	2	2	4	45	-	-
10|11	3	2	4	45	-	-
10|13	4	2	4	45	-	-
11|12	5	2	4	45	-	-

16|24	1	3	1	3	-	1
14|15	1|5	3	1	3	-	1
13	5	3	1	3	-	1

9	5	4	1	3	-	1

9	3	5	1	3	-	1

12	3	6	1	3	-	1

#13	3	7	1	3	-	1
4|5	8|9	7	1	3	-	-
4	7	7	1	3	-	-

13	1	8	1	3	-	1

9	1	9	1	3	-	1

7|8	1|5	10	1	2	-	-
6	3	10	1	2	-	-
1|5	1|3	10	1	2	-	-
2|5	4|7	10	1	2	-	-
2|3	8|12	10	1	2	-	-
1|5	13|15	10	1	2	-	-

1	10|11	11	1	2	-	1

1	7|8	12	1	2	-	1

1	4|5	13	1	2	-	1

#Muros invisibles
6	1|2	*	1	-	-	-
6	4|5	*	1	-	-	-

4	6	8|9	1	-	-	-

#Muros plataformas

#	Foso derecha...
24	1	0	1	20	-	-
15	5	0	1	20	-	-
15	2|5	1	1	20	-	-
15	2|5	2	1	77	-	-

16|24	1	1	1	20	-	-
16|24	1	2	1	77	-	-

17|24	5	0	1	20	0	-


#	Saltos central...
9|10	5	3	1	77	-	1
9	3|4	3	1	20	-	1

9	3|4	4	1	77	-	1

12|13	3	3|4	1	20	-	1
12|13	3	5	1	77	-	1

13	3	6	1	3	-	1

13	1	3|6	1	20	-	1
13	1	7	1	77	-	1

9|10	1	3|7	1	20	-	1
9|10	1	8	1	77	-	1

8	2|5	3|7	1	20	-	-
8	2|5	8	1	77	-	-
8	2|5	9	1	3	-	-

#	Muros separador central
6	1|2	11|12	-	3	-	1
6	4|5	11|12	-	3	-	1

6	1|5	13	1	122	-	1

#	Rampa oeste
1	4|9	11	1	2	-	1
1	4|6	12	1	2	-	1

#	Bajada oeste...
3	7|10	8|9	1	2	-	-
3	11	9	1	2	-	-

5	7	8|9	1	2	-	1
5	7	10	-	-	-	1

4	7	10	-	-	-	1

#Rampas y topes
#10	5	4	11	96	-	1
10	5	4	15	96	-	1
9	5	4	3	-	-	-

9	4	5	12	97	-	1
9	3	5	3	-	-	-

#10	1	9	11	96	-	1
10	1	9	15	96	-	1
9	1	9	3	-	-	-

4|5	12	10	13	24	-	-
