#Sala abismo -1.
#w	h	d	id_sala	cam.est secreta
26	10	10	46	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	-	-	-

#Plataformas por nivel
24|25	3|4	1	1	3	-	-

20|25	1|2	3	1	3	-	-
20|23	3|6	3	1	3	-	-
20|25	7|8	3	1	3	-	-

5|7	7|8	3	1	3	-	1

5	4	4	1	3	-	1

9	4	5	1	3	-	1
13	4	5	1	3	-	1
13|14	5	5	1	3	-	1

17	5	6	1	18	-	1

14|17	1|4	7	1	3	-	1
1|13	1	7	1	3	-	1
1	2|8	7	1	3	-	1
2|4	8	7	1	3	-	1

#Muros invisibles
18|19	*	*	1	-	-	-

1|13	1	1|6	1	-	-	-
1	2|7	1|6	1	-	-	-
2|4	8	1|6	1	-	-	-
14	2|4	1|6	1	-	-	-
15|17	4	1|6	1	-	-	-

20|21	3	*	1	-	-	-

#Muros plataformas
#	Abismo
2|10	1	0	1	37	-	-
2|10	1	1	1	20	-	-
2|11	1	2|3	1	20	-	-
2|12	1	4	1	20	-	-
2|12	1	5	1	77	-	-
2|13	1	6	1	3	-	-

13|14	5	0	1	37	-	1
13|14	5	1|3	1	20	-	1
13|14	5	4	1	77	-	1

5	4	0	1	37	-	1
5	4	1|2	1	20	-	1
5	4	3	1	77	-	1

8|9	4	0	1	37	-	1
8|9	4	1|2	1	20	-	1
8|9	4	3	1	77	-	1
8|9	4	4	1	3	-	1

5|7	8	0	1	37	-	1
5|7	8	1	1	20	-	1
5|7	8	2	1	77	-	1

7	7	0	1	37	-	1
7	7	1	1	20	-	1
7	7	2	1	77	-	1

4	8	0	1	37	-	1
4	8	1	1	20	-	1
4	8	2	1	77	-	1
4	8	3|6	1	3	-	1

1|3	8	0	1	37	-	1
1|3	8	1|4	1	20	-	1
1|3	8	5	1	77	-	1
1|3	8	6	1	3	-	1

1	2|4	0	1	37	-	-
1	2|4	1	1	20	-	-
1	2|5	2	1	20	-	-
1	2|5	3	1	20	-	-
1	2|6	4	1	20	-	-
1	2|6	5	1	77	-	-
1	2|7	6	1	3	-	-

14|17	4	6	1	4	-	1
15|17	4	5	1	104	-	1
17	1|3	6	1	4	-	-
17	0|3	5	1	104	-	-

#	Zona este
19	1|8	4	-	3	-	-
19	1|8	5	-	122	-	-

23	3|5	2	1	4	-	-
24|25	2	2	1	4	-	-

20|21	3	4	-	3	-	1
20|21	3	5	-	122	-	1

#Rampas y topes
#8	4	5	10	95	-	1
8	4	5	14	95	-	1

9	4	5	3	-	-	-

24|25	6	3	13	98	-	-
24|25	7	3	3	-	-	-

24|25	5	2	13	98	-	-
24|25	6	2	3	-	-	-

#Muros norte y este
*	0	*	1	-	-	-
0	*	*	1	-	-	-

1|17	0	8	-	4	-	-
1|17	0	9	-	66	-	-
17	0	6|7	-	4	-	-

0	1|8	8	-	4	-	-
0	1|8	9	-	66	-	-
0	8	6|7	-	4	-	-
0	8	5	-	76	-	-
0	8	1|4	-	20	-	-
0	8	0	-	37	-	-

0	4	8|9	0	0	-	-
0	4	7	1	3	-	-
0	5|8	8|9	-	-	-	1

20|25	0	4|7	-	4	-	-
20|25	0	8	-	66	-	-

22	0	4|6	-	3	-	-
23	0	3	1	3	-	-
23	0	4|5	1	57	1	-
23	0	6	-	123	-	1
24	0	4|6	-	123	-	1

#Muro sur
*	9	*	1	-	-	-

6	9	3	1	3	-	1
6	9	4|5	0	-	-	-

22	9	3	1	3	-	-
22	9	4|5	0	-	-	1

#Reja

15|17	1|3	9	1	124	-	1

#Tapas y junturas
19	8	3	-	3	-	-
25	6	2	-	125	-	-
25	5	1	-	125	-	-
25	2	1	-	4	-	-
25	1	2	-	4	-	-
25	0	2|3	-	4	-	-

21	1|2	3	-	88	-	-

2	2	5	1	17	-	1
2	4	5	1	17	-	1

#Secreto
23	3	2	-	-	3	-
22	3	2	1	-	-	-
23	3	1	1	3	-	-
23	2	2	1	4	-	-
23	4	2	-	78	-	1
23	3|4	3	-	195	-	1

##############################################################################
[F]
################################################################################
#Entradas
1	98	148	64	1
1	354	148	64	2
1	372	4	64	3
1	371	50	32	4
1	4	68	128	5

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	96	159	64	16	1	1	2	45
2	352	159	64	16	1	1	3	44
2	368	0	64	16	1	1	1	47
2	368	48	32	1	16	1	1	83
2	0	64	128	1	16	1	2	139

#Marcas salidas
14	96	168	64	112
14	352	168	64	112

#Reja
14	240	16	128	30
14	240	32	128	30
14	240	48	128	30
14	240	16	144	30
14	240	32	144	30 
14	240	48	144	30

14	240	64	128	31
#14	256	64	128	31
14	272	64	128	31
14	240	64	144	31
14	256	64	144	31
14	272	64	144	31

#Sierras
12	344	18	64	4	2	16
11	344	16	64	2
