#Tesoreria -1
#w	h	d	id_sala	cam.est secreta
18	10	10	47	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel
8|17	7|8	0	1	3	-	-

10|11	5|6	0	1	3	-	-
14|15	5|6	0	1	3	-	-

4	5|8	3	1	3	-	-
5|17	5|6	3	1	87	-	-

4|5	3|4	3	1	87	-	-
8|9	3|4	3	1	87	-	-
12|13	3|4	3	1	87	-	-

1|3	3|8	6	1	87	-	-
4|15	3|4	6	1	87	-	-
14|15	2	6	1	87	-	-
14|17	1	6	1	3	-	-

6|7	1|2	6	1	87	-	-
10|11	1|2	6	1	87	-	-

#Muros plataformas
#	Planta 0
16	6	1|2	1	12	-	1
17	6	1|2	1	4	-	1
12|13	6	1|2	1	12	-	1
9	6	1|2	1	12	-	-
7|8	6	1|2	1	4	-	-
6	6	2	1	4	-	-

#	Planta 1
3	5|8	4|5	1	4	-	-
3	4	4|5	1	12	-	-
6|7	4	4|5	1	12	-	1
10|11	4	4|5	1	12	-	1
14	4	4|5	1	12	-	1
15	4	4|5	1	4	-	1
15	3	5	1	4	-	-

#	Planta 2
13	1|2	7|8	1	4	-	1
12	2	7|8	1	12	-	1
8|9	2	7|8	1	12	-	1
5	2	7|8	1	12	-	-
1|4	2	7|8	1	4	-	-

1|13	2	9	1	66	-	1
13	1	9	1	66	-	1

#Rampas y topes
7	7|8	1	11	96	-	-
6	7|8	1	3	-	-	-

6	7|8	2	11	96	-	-
5	7|8	2	3	-	-	-

5	7|8	3	11	96	-	-
4	7|8	3	3	-	-	-

16|17	4	4	12	97	-	1
16|17	3	4	3	-	-	-

16|17	3	5	12	97	-	1
16|17	2	5	3	-	-	-

16|17	2	6	12	97	-	1
16|17	1	6	3	-	-	-

#Muros invisibles.
1|5	1|2	*	1	-	-	-
8|9	1|2	*	1	-	-	-
12|13	1|2	*	1	-	-	-
4|15	5	7|9	1	-	-	-

#Muros invisibles celdas...
9	5|6	1|2	1	-	-	-
10|11	4	1|2	1	-	-	-
12|13	5|6	1|2	1	-	-	-
14|15	4	1|2	1	-	-	-
16	5|6	1|2	1	-	-	-

3	3|4	4|5	1	-	-	-
4|5	2	4|5	1	-	-	-
6|7	3|4	4|5	1	-	-	-
8|9	2	4|5	1	-	-	-
10|11	3|4	4|5	1	-	-	-
12|13	2	4|5	1	-	-	-
14	3|4	4|5	1	-	-	-

6|7	0	7|8	1	-	-	-
8|9	1|2	7|8	1	-	-	-
10|11	0	7|8	1	-	-	-


#Muro norte y este
*	0	*	1	-	-	-
0	*	*	1	-	-	-

