#Observatorio.
#w	h	d	id_sala	cam.est secreta
15	10	15	53	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel

1|14	13|14	0	1	58	-	-
7|14	11|12	0	1	58	-	-
7|8	10	0	1	58	-	-
13|14	9|10	0	1	58	-	-

7	5|7	2	1	133	-	1
13|14	1|7	2	1	133	-	1
8|14	6|8	2	1	133	-	1
9|12	9|10	2	1	133	-	1

8|12	1|4	3	1	58	-	-

#Muro invisible
9|12	8|10	1	1	-	-	-

#Plataformas
9|12	10	1	-	3	-	-
12	9	1	-	3	-	-
13|14	8	1	1	3	-	-
7	5	6	-	139	-	1
7	6	6	1	139	-	1

#Rampas y topes
8|12	5	3	12	108	-	1
8|12	4	3	3	-	-	-

7|8	8	2	12	108	-	1
7|8	7	2	3	-	-	-

7|8	9	1	12	108	-	1
7|8	8	1	3	-	-	-

7	4	6	13	32	-	1
7	5	6	3	-	-	-


#13|14	8	2	12	108	-	1
#13|14	7	2	3	-	-	-

#13|14	9	1	12	108	-	1
#13|14	8	1	3	-	-	-

#Muros norte y oeste
*	0	*	1	-	-	-
0	*	*	1	-	-	-
0|6	0|12	*	1	-	-	-

7	0	5	-	4	-	-
8|13	0	4|5	-	4	-	-
14	0	2|5	-	4	-	-

6	0|7	5	-	4	-	-
6	6|12	3|4	-	4	-	-
6	8|12	2	-	63	-	-
6	9|12	1	-	3	-	-
6	8|12	5	-	66	-	-
6	4|7	6|8	-	4	-	-
6	4|7	9	-	66	-	-


0	13|14	1	-	3	-	-
0	13|14	2	-	63	-	-
0	13|14	3|4	-	4	-	-
0	13|14	5	-	66	-	-

1|5	12	1	-	3	-	-
1|5	12	2	-	63	-	-
1|5	12	3|4	-	4	-	-
1|5	12	5	-	66	-	-

3	12	0	1	58	-	-
3	12	1|2	0	0	-	-

13	0	3|4	1	57	1	-
13	0	2	1	133	-	-
12	0	3	-	4	-	-
14	0	3|5	-	-	-	1
13	0	5	-	-	-	1

#Suelo llamas...
7|8	10|11	0	-	59	-	-
7|8	12	0	-	59	-	-
8	13|14	0	-	59	-	-
10|11	11|13	0	-	59	-	-
13|14	12|14	0	-	59	-	-

#Decoración...
7	1|6	4|5	1	139	-	1
7	5|6	3	1	10	-	1

10|11	8|9	2	-	5	-	-

#Tapas y junturas...
0	14	0	-	58	-	-
14	8	0	-	58	-	-

#Fix puerta
3|6	12	1|5	-	-	-	1

#Secretos...
12	2	3	-	203	5	-
11|12	1	2	1	58	-	-

12	2	2	10	106	-	-
13	2	2	3	-	-	-

11	2	3	-	202	-	-

