#Muro exterior.
#w	h	d	id_sala	cam.est secreta
23	25	6	55	0	0

################################################################################
[F]
################################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	-	-	-

#Muro exterior....
0|19	0|1	*	1	4	-	-
0|19	0|1	0	-	104	-	-
0|19	0|1	24	-	66	-	-

0|19	0|1	4	-	87	-	-
0|19	0|1	7	-	87	-	-
0|19	0|1	11	-	87	-	-
0|19	0|1	17	-	87	-	-

17	1	21|22	0	0	-	-

0|18	0	*	-	0	-	-

#Ventanas...
1|3	1	20|23	-	3	-	-
2	1	21	-	114	-	-
2	1	22	-	113	-	-

6|8	1	20|23	-	3	-	-
7	1	21	-	114	-	-
7	1	22	-	113	-	-

11|13	1	20|23	-	3	-	-
12	1	21	-	114	-	-
12	1	22	-	113	-	-

1|3	1	8|11	-	3	-	-
2	1	9	-	114	-	-
2	1	10	-	113	-	-

6|8	1	8|11	-	3	-	-
7	1	9	-	114	-	-
7	1	10	-	113	-	-

11|13	1	8|11	-	3	-	-
12	1	9	-	142	-	-
12	1	10	-	141	-	-

16|18	1	8|11	-	3	-	-
17	1	9	-	114	-	-
17	1	10	-	113	-	-


#Entrada
20|21	0|3	4	1	7	-	1

#Escalada...
16|17	2	4	1	18	-	1
13	2	4	1	18	-	1
9|10	2	4	1	18	-	1

5	2	4	1	18	-	1
5	3	4	1	93	-	1

1|3	2	7	1	93	-	1
1	3	7	1	93	-	1

6|8	2	8	1	18	-	1


#9|10	2	9	1	18	-	1

#12	2	10	1	18	-	1
#12	3	10	1	93	-	1

#15|16	2	11	1	4	-	1
#15|16	3	11	1	18	-	1
#15	2	12	1	132	-	1

17	2	11	1	18	-	1

11|12	2	13	1	18	-	1

8	2	14	1	18	-	1
8	3	14	1	93	-	1

15	2	14	1	18	-	1
15	3	14	1	93	-	1

5	2	14	1	18	-	1
5	3	14	1	93	-	1

20	1	13	1	17	-	1
20|21	1	14	1	4	-	1
21	2	14	1	18	-	1
21	3	14	1	93	-	1

1|2	2	17	1	18	-	1
1	3	17	1	93	-	1

5	2	17	1	15	-	1
5	2	15|16	1	16	-	1

8	2	17	1	18	-	1

10	2	18	1	18	-	1
12	2	19	1	18	-	1

15|18	2	20	1	18	-	1

#Rampas y topes...
4	3	5	11	140	-	1
3	3	5	3	-	-	-

3	3	6	11	140	-	1
2	3	6	3	-	-	-

2	3	7	11	140	-	1
1	3	7	3	-	-	-

4	3	15	11	140	-	1
3	3	15	3	-	-	-

3	3	16	11	140	-	1
2	3	16	3	-	-	-

2	3	17	11	140	-	1
1	3	17	3	-	-	-

#Fix puerta
16	1	21|23	-	3	-	-
18	1	21|23	-	123	-	1
17	1	23	-	123	-	1

##############################################################################
[F]
################################################################################
#Entradas
1	333	4	80	1
1	274	20	336	2

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	320	0 	80	32	1	1	2	54
2	272	16	336	16	1	1	1	56

#Marcas salidas
14	336	0	80	110

#Barandas...
14	350	0	80	16
14	350	16	80	16
14	350	32	80	16
14	350	48	80	16

14	320	64	80	15
14	336	64	80	15

#Ventana y ladrillos
14	195	32	148	49
14	214	32	150	50
14	224	32	162	51
14	240	32	170	51
14	248	32	186	51
#14	280	32	200	51
#14	284	32	212	51
#14	292	32	224	51
#14	304	32	232	51

#Escalera
#tipo	x	y	z	h	orient	flags	activa	id
10	333	32	176	64	12	1	1	0
14	333	32	176	65
14	333	32	192	65
14	333	32	208	65
14	333	32	224	65
14	333	32	240	66
14	333	39	240	66

#Barra
14	320	58	236	52
14	304	58	236	52
#14	288	58	236	52
#14	272	58	236	52
14	256	58	236	52
14	240	58	236	52

#Sonido ambiente viento
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	2	59	40	127	0	0	1	0

################################################################################
[F]
################################################################################

#Bonus
14	212	36	80	4
14	49	35	128	4
14	325	19	240	4
14	131	52	240	4
14	83	34	288	4
14	196	37	320	4
