#Biblioteca
#w	h	d	id_sala	cam.est secreta
24	11	13	56	0	0

################################################################################
[F]
###############################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Suelos por nivel
6|23	1|11	0	1	133	-	-

11	10	0	-	117	-	-
11	5|9	0	-	118	-	-
11	4	0	-	119	-	-

15	10	0	-	117	-	-
15	5|9	0	-	118	-	-
15	4	0	-	119	-	-

19	9	0	-	117	-	-
19	5|8	0	-	118	-	-
19	4	0	-	119	-	-

18|20	11	1	1	3	-	1

1|6	6|11	5	1	132	-	1
5|6	1|5	5	1	132	-	1

5|10	1|2	5	1	132	-	1
11|15	1	5	1	132	-	1
16|23	1|2	5	1	132	-	1

1|4	1|4	6	1	133	-	0

2	7	6|8	1	139	-	1
2	10	6|8	1	139	-	1
5	7	6|8	1	139	-	1
5	10	6|8	1	139	-	1

1	1|2	7|9	1	139	-	0
2	1	7|9	1	139	-	0
1	3	7	1	139	-	0
3	1	7	1	139	-	0

1	1|2	10	1	4	-	0
2	1	10	1	4	-	0

#Muro invisible

1|5	1|11	0|4	1	-	-	-

#Columnas

6	8	1|4	1	56	-	1
6	4	1|4	1	56	-	1

6	8	5	1	132	-	1
6	4	5	1	132	-	1

8	2	1|4	1	56	-	1
20	2	1|4	1	56	-	1

#Librerias
9	5|9	1|3	1	139	-	1
13	5|9	1|3	1	139	-	1
17	5|9	1|3	1	139	-	1
21	5|9	1|3	1	139	-	1

#Plataformas
5	1|3	1|2	1	139	-	0
5	4	1|2	1	4	-	0
5	5|7	1|2	1	139	-	0
5	8	1|2	1	4	-	0
5	9|10	1|2	1	139	-	0
5	11	1|4	1	4	-	0

10|14	2	1	1	3	-	1
10|13	2	2|3	1	3	-	1
10	2	4	1	3	-	1

11|12	1	4	1	139	-	0
13	1	3|4	1	139	-	0
14	1	2|4	1	139	-	0
15	1	1|4	1	139	-	0

12	2	1|2	0	0	-	-
12	1	1|2	1	0	-	-

#Rampas y topes
17	11	1	10	95	-	1
18	11	1	3	-	-	-

21	11	1	11	96	-	1
20	11	1	3	-	-	-

15	2	1	11	96	-	1
14	2	1	3	-	-	-

14	2	2	11	96	-	1
13	2	2	3	-	-	-

13	2	3	11	96	-	1
12	2	3	3	-	-	-

11	2	4	11	96	-	1
10	2	4	3	-	-	-

10	2	5	11	96	-	1
9	2	5	3	-	-	-

1|4	5	6	12	31	-	-
1|4	4	6	3	-	-	-

9	9	3	16	31	-	-
9	8	3	3	-	-	-

9	5	3	17	32	-	-
9	6	3	3	-	-	-

13	9	3	16	31	-	-
13	8	3	3	-	-	-

13	5	3	17	32	-	-
