#Sala secreta de la sala 53 (bajo jardin)
#w	h	d	id_sala	cam.est secreta
14	12	17	90	0	1

################################################################################
[F]
###############################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Muros invisibles
0|7	0|4	*	1	-	-	-
0|5	5|11	*	1	-	-	-
6|13	0|6	0|4	1	-	-	-
8|11	1|4	*	1	-	-	-
8|11	5|6	9|11	1	-	-	-

#Suelos

6|13	7|16	0	4	6	-	-
3|13	13|16	0	4	6	-	-
10	8	0	0	0	-	-
10	10	0	0	0	-	-
10	13|14	0	0	0	-	-
9	14	0	0	0	-	-
6	14	0	0	0	-	-
4	14	0	0	0	-	-

12|13	1|6	4	1	205	-	-
6|11	5|6	4	1	205	-	-
2	13|14	4	1	205	-	-
1|2	15|16	4	1	205	-	-
10|11	2	4	1	205	-	-

1|6	12	6	1	4	-	1
6	9|11	6	1	4	-	1

10	4	9	1	206	-	1
11	1|4	9	1	206	-	1
10	5	9	1	186	-	1

#Espacios abiertos...
10	2	5|11	0	0	-	-
11	2	5|8	0	0	-	-

10	5	10|11	0	0	-	-
10	4	10|11	0	0	-	-
11	1|4	10|11	0	0	-	-

#Muro norte
*	0	*	1	-	-	-
1|4	11	7|11	1	20	-	-
0	12	7|11	1	20	-	-
0	13	6|11	1	20	-	-
0	14|16	5|11	1	20	-	-
11	0	10|11	1	10	-	-
12	0	5|11	1	12	-	-
13	0	5|11	1	20	-	-

#Muro oeste
0	*	*	1	-	-	-
5	5|6	5	1	12	-	-
5	5|6	6|11	1	10	-	-
5	7	7|11	1	12	-	-
5	8|11	7|11	1	20	-	-

5	7	4	-	20	-	-
5	7	5|6	-	12	-	-
5	8	5|6	-	20	-	-

#Paredes
6|11	4	5	1	12	-	1
11	3	5	1	12	-	1
11	1	5	1	12	-	1

6|11	4	6|8	1	10	-	1
11	3	6|8	1	10	-	1
11	1	6|8	1	10	-	1

6|9	4	9|11	1	10	-	1
10	1	8|11	1	10	-	1
10	3	10|11	1	10	-	1
9	1|3	11	1	10	-	1
9	2	10	1	10	-	1

#	Bordes foso

6|13	6	1|3	1	20	-	-
5	7|11	1|3	1	20	-	-
3|5	12	1|5	1	20	-	-
2	13|16	1|3	1	20	-	-

#Plataformas
10	8	1	1	20	-	1
10	8	2	1	77	-	1
10	8	3	1	3	-	1
10	8	4	1	58	-	1

10	10	1	1	20	-	1
10	10	2	1	77	-	1
10	10	3	1	3	-	1
10	10	4	1	196	1	1

10	13|14	1	1	20	-	1
10	13|14	2	1	77	-	1
10	13|14	3	1	3	-	1
10	13	4	1	58	-	1
10	14	4	1	196	2	1

9	14	1	1	20	-	1
9	14	2	1	77	-	1
9	14	3	1	3	-	1
9	14	4	1	58	-	1

6	14	1	1	20	-	1
6	14	2	1	77	-	1
6	14	3	1	3	-	1
6	14	4	1	58	-	1

4	14	1	1	20	-	1
4	14	2	1	77	-	1
4	14	3|4	1	3	-	1
4	14	5	1	47	-	1


#Rampas y topes
1	14	5	12	35	-	1
1	13	5	3	-	-	-

1	13	6	12	35	-	1
1	12	6	3	-	-	-

#Tapas y junturas
1	13	5	-	4	-	-
2	12	5	1	4	-	-
0	11	11	-	20	-	-
0	16	4	-	20	-	-
5	4	11	-	10	-	-
9|10	0	11	-	10	-	-
13	0	4	-	20	-	-

#Adornos
6	12	5	-	17	-	1
6	9	5	-	17	-	1
10	4	5	-	46	-	-
7|10	4	6	-	12	-	-
8|9	4	5	-	139	-	-

##############################################################################
[F]
################################################################################
#Entradas
1	162 	84	160	1

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	160	95	160	16	1	1	4	53

#Marcas salidas
14	160	104	160	112

#Escaleras...

10	164	32	80	96	12	2	1	0
14	164	32	128	72
14	164	32	144	72
14	164	32	160	72

#Deco
14	192	20	98	38
14	192	53	98	38
14	110	80	80	74
14	116	90	80	14

#Disparadores...
#tipo	x	y	z	t.proy.	patron	direc.	veloc.	paso.	activo	id	id_enlac.
13	168	88	88	1	17	2	84	0	0	3	5
13	88	232	88	5	17	4	84	0	0	4	5

#Interruptores contacto...
#tipo	x	y	z	w	h	d	id_in	id_out	repet.	activo	id
16	160	160	80	16	1	16	216	0	0	1	0
16	160	224	80	16	1	16	218	0	0	1	0

#Sonido lava, dardos
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	2	58	32	127	0	0	1	0
4	0	0	0	1	57	64	127	0	0	0	5


################################################################################
[F] 
################################################################################

#Bonus...
14	19	252	80	4
14	35	212	80	4
14	97	195	112	4
14	98	144	112	4

