#Primera sala del final...
#w	h	d	id_sala	cam.est secreta
15	20	60	96	0	1

################################################################################
[F]
###############################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	-	-	-

#Muros invisibles

#Suelos
3|4	4|7	9	1	13	-	1
10|11	4|7	9	1	13	-	1

5|9	4|7	10	1	55	-	1

#Muro sur
*	59	*	1	-	-	-
7	59	6	1	55	-	1
7	59	7|8	0	0	-	-

#Paredes
5|9	7	9	1	10	-	1
3|11	7	8	1	10	-	1
11	4|6	8	1	10	-	1

#Puerta
5	4	11	1	58	2	1
5	4	12	1	56	3	1
5	4	13	1	58	2	1
5	4	14	1	56	3	1
5	4	15	1	58	2	1
5	4	16	1	56	3	1
5	4	17	1	58	2	1

9	4	11	1	58	2	1
9	4	12	1	56	3	1
9	4	13	1	58	2	1
9	4	14	1	56	3	1
9	4	15	1	58	2	1
9	4	16	1	56	3	1
9	4	17	1	58	2	1

6|8	4	17	1	58	2	1

5	4	10	-	-	4	-
9	4	10	-	-	4	-
5|9	5	10	-	-	4	-


6|8	4	11|16	1	-	1	-

#Puente...
7	12|58	6	1	55	-	1

#Soportes puente...

7	54	0	1	237	-	1
7	54	1|3	1	56	-	1
7	54	4|5	1	58	-	1

8	54	5	1	58	-	1
6	54	5	1	58	-	1

5	54	5|9	1	239	-	1
9	54	5|9	1	238	-	1

6	54	9	1	72	-	1
7	54	9	1	71	-	1
8	54	9	1	70	-	1


7	44	0	1	237	-	1
7	44	1|3	1	56	-	1
7	44	4|5	1	58	-	1

8	44	5	1	58	-	1
6	44	5	1	58	-	1

5	44	5|9	1	239	-	1
9	44	5|9	1	238	-	1

6	44	9	1	72	-	1
7	44	9	1	71	-	1
8	44	9	1	70	-	1

7	34	0	1	237	-	1
7	34	1|3	1	56	-	1
7	34	4|5	1	58	-	1

8	34	5	1	58	-	1
6	34	5	1	58	-	1

5	34	5|9	1	239	-	1
9	34	5|9	1	238	-	1

6	34	9	1	72	-	1
7	34	9	1	71	-	1
8	34	9	1	70	-	1

7	24	0	1	237	-	1
7	24	1|3	1	56	-	1
7	24	4|5	1	58	-	1

8	24	5	1	58	-	1
6	24	5	1	58	-	1

5	24	5|9	1	239	-	1
9	24	5|9	1	238	-	1

6	24	9	1	72	-	1
7	24	9	1	71	-	1
8	24	9	1	70	-	1

7	14	0	1	237	-	1
7	14	1|3	1	56	-	1
7	14	4|5	1	58	-	1

8	14	5	1	58	-	1
6	14	5	1	58	-	1

5	14	5|9	1	239	-	1
9	14	5|9	1	238	-	1

6	14	9	1	72	-	1
7	14	9	1	71	-	1
8	14	9	1	70	-	1

#Rampas y topes
7	8	10	12	108	-	1
7	7	10	3	-	-	1

7	9	9	12	108	-	1
7	8	9	3	240	-	1

7	10	8	12	108	-	1
7	9	8	3	240	-	1

7	11	7	12	108	-	1
7	10	7	3	240	-	1

7	11	6	-	240	-	1

#Tapas y junturas

##############################################################################
[F]
################################################################################
#Entradas
1	116 	949	112	1
1	116	77	176	2

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	112	959	112	16	1	1	2	89
2	96	64	176	48	1	80	1	97

#Marcas salidas
14	112	968	112	112

#Deco
14	49	128	80	79
14	106	128	80	80
14	155	128	80	81
14	191	128	80	82
14	191	99	80	83

14	112	92	176	84

#Sonido activación puerta...
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	1	68	127	127	0	0	0	5


################################################################################
[F] 
################################################################################

#Interruptor invisible...
#CAMBIAR ESTO POR ACTOR CONDICION O ALGO ASI...
#tipo	x	y	z	w	h	d	cadena	secreto t.cond	cadena.cond
8	112	92	176	16	16	16	258	0	0	0
