#The crossings...
#w	h	d	id_sala	cam.est secreta
32	26	29	97	0	1

################################################################################
[F]
###############################################################################
#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	-	-	-

#Muros invisibles
#	Parte 1
19|27	25|28	0|4	1	-	-	-
22|23	24	0|4	1	-	-	-

17|19	26|28	0|16	1	-	-	-
20|22	28	0|16	1	-	-	-

22|23	18|20	0|4	1	-	-	-
23	14|15	0|4	1	-	-	-
22|23	11|12	0|4	1	-	-	-

#	Parte 2
16|27	0|6	0|4	1	-	-	-
22|23	7|8	0|4	1	-	-	-
18|19	6|7	0|7	1	-	-	-
18|19	3	0|7	1	-	-	-
18|19	4|5	7	1	-	-	-
16|22	1|2	0|7	1	-	-	-
23|24	1|2	0|9	1	-	-	-
27	1|3	11	1	-	-	-
27	6|8	13	1	-	-	-
16|29	0	*	1	-	-	-

#	Parte 3
1|8	4|5	0|4	1	-	-	-
1|8	1|3	0|7	1	-	-	-
1|2	4|5	0|7	1	-	-	-
1|4	1|2	0|20	1	-	-	-
0	0|8	*	1	-	-	-
0|9	0	*	1	-	-	-

#	Parte 4
9|10	20|28	16	1	-	-	-
5|6	20|28	18	1	-	-	-
1|2	16|28	20	1	-	-	-

#Suelos
#	Parte 1
19	25	4	-	13	-	1
20|22	25|27	4	-	13	-	1
23|27	25|28	4	-	13	-	1
22|23	24	4	-	13	-	1

17|19	26|28	16	1	4	-	1
20|22	28	16	1	4	-	1

26|30	28	13	1	1	-	1
30	24|27	13	1	1	-	1

22|23	18|20	4	-	68	-	1
23	14	4	-	4	-	1
23	15	4	-	18	-	1
22|23	11|12	4	-	4	-	1

#	Parte 2

16|17	3|6	4	1	133	-	1
18|19	4|5	4	1	133	-	1
20|24	3|6	4	1	133	-	1
22|23	7|8	4	1	133	-	1
25|27	1|6	4	1	133	-	1


18|19	6|7	7	1	3	-	1
18|19	3	7	1	3	-	1
18|19	4|5	7	1	3	-	1
16|20	1|2	7	1	3	-	1
23|24	1|2	9	1	3	-	1
27	1|3	11	1	3	-	1
27	6|8	13	1	3	-	1

#	Parte 3

6|8	4|5	4	1	13	-	-
1|4	3	7	1	13	-	-
5|8	1|3	7	1	13	-	-
1|2	4|5	7	1	13	-	-
1|4	1|2	20	1	224	-	-
0	0|8	*	1	-	-	-
0|9	0	*	1	-	-	-
2	3	20	1	18	-	1


#	Parte 4

9|10	20|28	16	1	246	-	-
5|6	20|28	18	1	246	-	-
1|2	16|28	20	1	246	-	-

#Paredes

#	Parte 1

17|19	28	0|4	-	10	-	0
17|19	28	5|15	-	10	-	1

20|22	28	0|4	-	10	-	0
20|22	28	5|7	-	10	-	1

17|22	28	0	-	38	-	-
17|19	28	15	-	68	-	-

20	28	8	-	157	-	1

19	26|27	0|4	-	10	-	0
19	26|27	5|15	-	10	-	1
19	26|27	15	-	68	-	-

30	25	0	1	37	-	1
30	25	1|2	1	20	-	1
30	25	3	1	76	-	1
30	25	4|12	1	4	-	1
30	25	13	1	133	-	1

23|25	28	7	1	10	-	1
26	28	7	1	157	-	1
26	28	5|6	1	10	-	1
26	28	4	-	10	-	-

23|27	28	3	-	10	-	0
27	26|27	3	-	10	-	0

22|23	18|20	3	-	38	-	-
23	14	1	-	38	-	-
22|23	11|12	1	-	38	-	-

23	14	2	-	10	-	-
22|23	11|12	2	-	10	-	-

23	14	3	-	68	-	-
22|23	11|12	3	-	68	-	-

#	Parte 2

18|19	7	0	-	143	-	1
18|19	7	1|3	-	3	-	1
18|19	6|7	4|6	-	3	-	1


16	6	0	-	104	-	-
16	6	1|3	-	4	-	-

20	6	0	-	104	-	-
20	6	1|3	-	4	-	-
21	6	3	-	4	-	-

22|23	8	0	-	104	-	1
22|23	8	1|3	-	4	-	1

23	7	0	-	104	-	1
23	7	1|3	-	4	-	1

24|27	6	0	-	104	-	1
24|27	6	1|3	-	4	-	1

27	1|5	0	-	104	-	1
27	1|5	1|3	-	4	-	1

16	2	4|6	-	3	-	1
17	2	6	-	3	-	1

19	3	4|6	-	3	-	1

20|24	2	4|6	-	3	-	1
21|24	2	7	-	3	-	1
22|24	2	8	-	3	-	1
24	1	5	-	3	-	1

27	8	0	1	143	-	1
27	8	1|12	1	3	-	1

27	1	5|10	1	3	-	1

16|27	0	13	-	66	-	-
16|21	0	8|12	-	4	-	-
22	0	9|12	-	4	-	-
23|25	0	10|12	-	4	-	-
26	0	11|12	-	4	-	-
27	0	12	-	4	-	-
27	0	11	-	102	-	-

17	0	12	-	69	-	-
20	0	12	-	69	-	-
23	0	12	-	69	-	-
26	0	12	-	69	-	-

21|22	2	5|6	-	139	-	-

25	0	5|6	-	4	-	-

#Parte 3

4	3	6	-	10	-	-
5|8	3	5|6	-	10	-	-

8	2	6	-	10	-	-

