#id 125 ... Gran sala en L en minas.
#w	h	d	id_sala	cam.est secreta
14	19	30	125	0	0

################################################################################
[F]
################################################################################

#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	0	0	0

#Muros invisibles
7|13	6|29	*	1	-	-	-

4|6	22|29	0|4	1	-	-	-
4|6	1|14	0|4	1	-	-	-
7|8	1|5	0|4	1	-	-	-
9|11	1|2	0|4	1	-	-	-

4|5	26|29	0|5	1	-	-	-

4	28|29	0|6	1	-	-	-

1|4	1|5	0|8	1	-	-	-
1|3	6|29	0|8	1	-	-	-

1|3	17|29	0|10	1	-	-	-

1|3	23|29	0|12	1	-	-	-

1|2	26|29	0|13	1	-	-	-

1	27|29	0|14	1	-	-	-

#Suelos

5|11	1|2	4	-	3	-	-
5|8	3|5	4	-	3	-	-
5|6	6|9	4	-	3	-	-
4|6	10|13	4	-	3	-	-
4|6	14	4	-	4	-	-

4|6	22|24	4	-	4	-	1
6	25|29	4	-	4	-	1

4|5	26	5	-	4	-	1
5	27|29	5	-	4	-	1

4	28|29	6	-	4	-	1

1|4	1|5	8	-	10	-	-
1|3	6|14	8	-	10	-	-
1|2	1|14	8	-	20	-	-

3	17|20	10	-	10	-	-
1|2	17|20	10	-	20	-	-

1|2	23|25	12	-	20	-	-
3	23|29	12	-	10	-	-

1|2	26	13	-	10	-	1
2	27|29	13	-	10	-	1

1	27|29	14	-	10	-	1

#Plataformas

4	18|19	4	1	17	-	1
4|6	13	8	1	124	-	1


#Muro norte
*	0	*	1	-	-	-

1|4	0	9|18	-	20	-	-
5|11	0	5|18	-	20	-	-
7|11	0	11|18	-	0	-	-
7	0	11	-	256	-	-
7	0	13	-	221	-	-
7	0	14	-	20	-	-
8	0	14	-	221	-	-
7|8	0	15|16	-	20	-	-
8	0	16	-	256	-	-
7	0	17	-	20	-	-
7	0	18	-	256	-	-

10	0	4	1	3	-	-
10	0	5|6	0	0	-	-
10	0	10	-	256	-	-
11	0	9|10	-	0	-	-
11	0	8	-	256	-	-

11	0	4	-	260	-	-

10|11	0	5|18	-	-	-	1

#Muro oeste
0	*	*	1	-	-	-
0	1|15	9|19	-	20	-	-
0	16	10|19	-	20	-	-
0	17|21	11|19	-	20	-	-
0	22	12|19	-	20	-	-
0	23|25	13|19	-	20	-	-
0	26	14|19	-	20	-	-
0	27|29	15|19	-	20	-	-
0	29	14	-	222	-	-

0	2|21	12|19	-	0	-	-
0	15|21	12|15	-	20	-	-
0	15	12	-	258	-	-
0	15	13|19	-	0	-	-
0	16	14	-	258	-	-
0	16	15	-	0	-	-
0	17	15	-	258	-	-

0	22	17	-	258	-	-
0	22	18	-	0	-	-
0	23	18	-	258	-	-

0	2	12	-	257	-	-
0	2	15	-	259	-	-
0	2	16|17	-	20	-	-
0	2	18	-	257	-	-

0	18	10	1	20	-	-
0	17|19	11|13	-	74	-	1
0	18|19	14	-	94	-	1
0	18	11|12	1	57	1	-
0	17	11|12	-	2	-	0

#Puertas este
7	24	4	1	4	-	1
7	24	5|6	0	0	-	-

7	13	8	1	4	-	1
7	13	9|10	0	0	-	1

#Paredes
#	Muro a lo largo del oeste
3	22|29	11	-	10	-	-
3	21|29	10	-	10	-	-
3	16|29	9	-	10	-	-
3	15|29	8|9	-	10	-	-
3	7|29	7	-	10	-	-
3	8|29	6	-	10	-	-
3	9|29	5	-	10	-	-

3	15|21	4	-	4	-	-
3	15|21	1|3	-	10	-	-
3	15|21	0	-	38	-	-

4	1|6	7	1	10	-	-
4	1|7	6	1	10	-	-
4	1|8	5	1	10	-	-

#	Tapa sur del nivel
1	29	1|13	-	10	-	-
2	29	1|12	-	10	-	-
3	29	1|11	-	10	-	-

4	29	5	-	4	-	-
4|5	29	4	-	4	-	-
4|6	29	3	-	68	-	-

1|6	29	1|2	-	10	-	-
1|6	29	0	-	38	-	-

#	Tapa plataforma norte...
4|6	14	3	-	68	-	-
4|6	14	1|2	-	10	-	-
4|6	14	0	-	38	-	-

#	Tapa este plataforma norte...
8	3|5	3	-	77	-	-
8	3|5	2	-	20	-	-
8	3|5	1	-	37	-	-

11	1|2	3	-	77	-	-
11	1|2	2	-	20	-	-
11	1|2	1	-	37	-	-

9|11	2	3	-	77	-	-
9|11	2	2	-	20	-	-
9|11	2	1	-	37	-	-

#Rampas y topes

4|5	25	5	13	36	-	1
4|5	26	5	3	-	-	-

4	27	6	13	36	-	1
4	28	6	3	-	-	-


4	9	5	12	158	-	-
4	8	5	3	-	-	-

4	8	6	12	158	-	-
