#Inicio templo con puzzle tiempo
#w	h	d	id_sala	cam.est secreta
18	10	13	132	0	0

################################################################################
[F]
################################################################################

#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	4	-	-	-

#Muros invisibles
0|5	0|7	*	1	-	-	-
11|17	0|7	*	1	-	-	-

1|2	8|12	0|3	1	-	-	-
6|10	8|12	0|3	1	-	-	-
14|16	8|12	0|3	1	-	-	-
6|10	1|7	0|6	1	-	-	-
10	8	0|6	1	-	-	-
10	1|4	0|6	0	-	-	-
10	1|4	0|4	1	-	-	-

#Suelos
3|5	8|12	0	-	6	-	-
11|13	9|12	0	-	6	-	-

1|2	8|12	3	-	2	-	1
6|9	8|12	3	-	2	-	1
10	9|12	3	-	2	-	1

14|16	8|12	3	-	2	-	1

10	1|2	4	-	2	-	-

6|9	1|7	6	-	2	-	1
10	5|8	6	-	2	-	1

#Plataformas

#Muro norte
*	0	*	1	-	-	-
6|10	0	7|8	-	20	-	-
10	0	5|6	-	20	-	-
6|10	0	9	-	54	-	-

9	0	6	1	2	-	-
9	0	7|8	0	0	-	-
9	0	9	-	-	-	1

#Muro oeste
0	*	*	1	-	-	-
0	8|12	4|8	-	20	-	-
0	8|12	9	-	54	-	1

5	1|6	7|8	-	20	-	-
5	1|6	9	-	54	-	1

5	3	6	1	2	-	-
5	3|4	7|8	-	94	-	1
5	3	7|8	0	0	-	-
5	3	9	-	-	-	1

0	10	3	1	2	-	-
0	10|11	4|6	-	94	-	1
0	10	4|5	0	0	-	-


#Muro este
17	*	*	1	-	-	-
17	10	3	1	2	-	1
17	10	4|5	0	0	-	-

#Paredes
11	8	6	1	2	-	1
10|12	8	5	1	2	-	1
10|13	8	4	1	2	-	1

11|13	8	1|3	1	2	-	1

6|9	7	5	-	75	-	-
6|9	7	4	-	20	-	-

2	8|12	2	-	75	-	-
2	8|12	1	-	20	-	-

10	9|12	2	-	75	-	-
10	9|12	1	-	20	-	-

9	1|3	5	-	75	-	-

6|10	12	2	-	75	-	-
6|10	12	1	-	20	-	-

14|16	12	2	-	75	-	-
14|16	12	1	-	20	-	-

3|5	7	1	-	20	-	-
3|5	7	2|3	-	20	-	-

1|5	7	4|8	-	20	-	-
1|5	7	9	-	54	-	1

14|16	7	4	-	20	-	1
13|16	7	5	-	20	-	1
12|16	7	6	-	20	-	1
11|16	7	7	-	20	-	1
11|16	7	8	-	54	-	1

#Puerta norte
15	7	4|5	0	0	-	-
15	7	3	-	2	-	-

#Rampas y topes

10	3	5	13	24	-	1
10	4	5	3	-	-	-

10	4	6	13	24	-	1
10	5	6	3	-	-	-

14	8	4	11	22	-	1
13	8	4	3	-	-	-

13	8	5	11	22	-	1
12	8	5	3	-	-	-

12	8	6	11	22	-	1
11	8	6	3	-	-	-

#Tapas y junturas
0	7	9	-	54	-	-
5	0	9	-	54	-	-
0	12	3|9	-	54	-	-
10	0	4|9	-	54	-	-
10	0	5|9	-	-	-	1r

16	7	3|8	-	54	-	-
10	3	4	-	121	-	-
10	4	5	-	121	-	-

#Deco
14	9|12	3	-	59	-	-
14	12	1|2	-	48	-	-
10|11	8	6	-	59	-	-
6|7	7	6	-	59	-	-
################################################################################
[F]
################################################################################

#Entradas
1	275	163	64	1
1	4	163	64	2
1	84	50	112	3
1	242	117	64	4
1	147	4	112	5

#Entrada punto guardado
1	132	162	64	6

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	287	160	64	1	16	1	2	106
2	0	160	64	1	16	1	1	133
2	80	48	112	1	16	1	2	133
2	144	0	112	16	1	1	1	148
2	240	112	64	16	1	1	1	134

#Marcas salidas
14	296	160	64	111

#Rejas
14	128	16	112	30
14	128	32	112	30
14	128	48	112	30
14	128	64	112	30
14	128	80	112	30
14	128	96	112	30
14	128	112	112	30

14	128	16	128	30
14	128	32	128	30
14	128	48	128	30
14	128	64	128	30
14	128	80	128	30
14	128	96	128	30
14	128	112	128	30

14	128	16	144	30
14	128	32	144	30
14	128	48	144	30
14	128	64	144	30
14	128	80	144	30
14	128	96	144	30
14	128	112	144	30

14	160	128	112	30
14	160	144	112	31
14	176	144	112	31
14	160	128	128	30
14	160	144	128	31
14	176	144	128	31

#Llamas

#5 - Alternador actor genérico
#tipo	x	y	z	id	t.actor	patron	paso	activo	id_on	id_off
5	160	128	112	1	69	1	0	1	0	0
5	176	128	112	1	69	1	0	1	0	0

5	96	112	112	1	69	1	0	1	0	0
5	112	112	112	1	69	1	0	1	0	0

5	224	144	64	2	69	5	0	0	6	7
5	224	160	64	2	69	5	0	0	0	0
5	224	176	64	2	69	5	0	0	0	0
5	224	192	64	2	69	5	0	0	0	0

#Palanca temporizador...
#7 - Interruptor no repetible
#tipo	x	y	z	cadena	id	t.cond	c.cond
7	112	20	112	366	4	0	0

#Sonido llamas fijas
#4 - Reproductor_audio, vol 0-128 pan 0-255
#tipo	x	y	z	t.repr.	id_snd	volum	pan	param1	param2	activo	id
4	0	0	0	2	55	16	127	0	0	1	5

#Sonido llamas parpadeantes on y off...
4	0	0	0	1	62	32	127	0	0	0	6
4	0	0	0	1	61	32	127	0	0	0	7

#Sonido palanca
4	0	0	0	1	50	64	127	0	0	0	2

#Sonido palanca y escalera
4	0	0	0	1	50	64	127	0	0	0	3
4	0	0	0	1	51	64	127	0	0	0	3

#Sonido tic tac
4	0	0	0	2	54	32	127	0	0	0	8

#Sonido ambiente lava
4	0	0	0	2	58	32	127	0	0	1	0

#Punto guardado
#tipo	x	y	z	id_entrada
14	112	160	64	33
21	115	163	68	6

################################################################################
[F]
################################################################################

#Escalera
#10 - Escalera (flags: 1 tope escalable. 2 base invertir).
