#Camino templo trampas
#w	h	d	id_sala	cam.est secreta
14	16	22	137	0	0

################################################################################
[F]
################################################################################

#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0

#Muros invisibles
5|13	0|8	*	1	-	-	-
0|9	13|21	*	1	-	-	-

10|13	11|20	0	1	-	-	-
1|4	3|12	0|5	1	-	-	-
5|11	9|12	0|5	1	-	-	-
12|13	9|10	0|5	1	-	-	-

1|4	1|2	0|10	1	-	-	-
1|2	3|4	0|10	1	-	-	-

#Suelos
12|13	11|18	0	-	2	-	-
10|13	19|20	0	-	2	-	-
10|11	18	0	-	2	-	-

3|4	3|8	5	-	2	-	-
3|13	9|10	5	-	2	-	-
1|11	11|12	5	-	2	-	-
1|2	10	5	-	2	-	-

1|4	1|2	10	-	2	-	-
1|2	3|4	10	-	2	-	-

#Muro norte
*	0	*	1	-	-	-
1|4	0	11|12	-	20	-	1
1|4	0	13	-	76	-	1
1|4	0	14	-	4	-	1
1|4	0	15	-	66	-	1

2	0	10	1	2	-	0
2	0	11|12	0	0	-	-

#Muro oeste
0	*	*	1	-	-	-

0	1|12	15	-	66	-	-
0	1|12	14	-	4	-	-
0	1|12	13	-	76	-	-
0	1|12	6|12	-	20	-	-


9	13|20	7	-	66	-	1
9	13|20	6	-	76	-	1
9	13|20	5	-	20	-	-
9	14|20	4	-	20	-	-
9	15|20	3	-	20	-	-
9	16|20	2	-	20	-	-
9	17|20	1	-	20	-	-

#Muro sur
*	21	*	1	-	-	-
12	21	0	1	2	-	1
12	21	1|2	0	0	-	-

#Paredes sólidas

#Paredes
11	17	1	1	2	-	-
11	16	1|2	1	2	-	-
11	15	1|3	1	2	-	-
11	14	1|4	1	2	-	-
11	13	1|5	1	2	-	-

2	9	6	1	2	-	-
2	8	6|7	1	2	-	-
2	7	6|8	1	2	-	-
2	6	6|9	1	2	-	-
2	5	6|10	1	2	-	-

12|13	10	4	-	2	-	-
12|13	10	3	-	75	-	-
12|13	10	1|2	-	20	-	-

11	11|12	4	-	2	-	-
11	11|12	3	-	75	-	-
11	11|12	1|2	-	20	-	-

3|4	2	9	-	2	-	-
3|4	2	8	-	75	-	-
3|4	2	6|7	-	20	-	-

2	3|4	9	-	2	-	-
2	3|4	8	-	75	-	-
2	3|4	6|7	-	20	-	-

5|13	8	6	-	20	-	1
5|13	8	7	-	76	-	1
5|13	8	8	-	66	-	1


#Rampas y topes

10|11	17	1	12	23	-	-
10|11	16	1	3	-	-	-

10|11	16	2	12	23	-	-
10|11	15	2	3	-	-	-

10|11	15	3	12	23	-	-
10|11	14	3	3	-	-	-

10|11	14	4	12	23	-	-
