#Sala cofre en cuevas: es una mano de piedra enorme :D.
#w	h	d	id_sala	cam.est secreta
20	19	19	172	0	0

################################################################################
[F]
################################################################################

#x	y	z	comp	rep	id	pla
*	*	*	0	0	0	0
*	*	0	2	-	-	-

#Muros invisibles
17|18	8|16	0|5	1	-	-	-
7|16	7|17	0|6	1	-	-	-
13|16	6	0|6	1	-	-	-
6	7|8	0|6	1	-	-	-
5|6	10|11	0|6	1	-	-	-
6	13|14	0|6	1	-	-	-
6	16|17	0|6	1	-	-	-
13|16	2|3	0|11	1	-	-	-
4|5	16|17	0|11	1	-	-	-
3|4	7|8	0|12	1	-	-	-
3|4	13|14	0|12	1	-	-	-
1|2	10|11	0|13	1	-	-	-

#Suelos

17|18	8|16	5	-	20	-	1
7|16	7|17	6	-	20	-	1
13|16	6	6	-	20	-	1
6	7|8	6	-	20	-	1
5|6	10|11	6	-	20	-	1
6	13|14	6	-	20	-	1
6	16|17	6	-	20	-	1
13|16	2|3	11	-	20	-	1
4|5	16|17	11	-	20	-	1
3|4	7|8	12	-	20	-	1
3|4	13|14	12	-	20	-	1
1|2	10|11	13	-	20	-	1

#Muro norte
*	0	*	1	-	-	-
8|18	0	0	-	38	-	-
8|18	0	1|14	-	10	-	-
8	0	9|14	-	0	-	-
9	0	11|14	-	0	-	-
10|12	0	12|14	-	0	-	-
13|15	0	13|14	-	0	-	-
16	0	14	-	0	-	-

8	0	8	-	156	-	-
9	0	10	-	156	-	-
10	0	11	-	156	-	-
13	0	12	-	156	-	-
16	0	13	-	156	-	-
17	0	14	-	156	-	-

#Muro oeste
0	*	*	1	-	-	-

#Muro este....
19	*	*	1	-	-	-
19	12	5	1	20	-	1
19	12	6|7	0	0	-	-

#Paredes... 
#	Muñeca
17|18	16	4	-	20	-	1
18	8|15	4	-	20	-	1

#	Palma mano...
6|16	17	4|5	-	20	-	1
16	16	4	-	20	-	-

#	Meñíque...
4|5	16|17	5|10	-	20	-	1
5	17	4	-	222	-	1
4	17	5	-	222	-	1

#	Anular
3|4	13|14	7|11	-	20	-	1
6	14	5	-	20	-	1
5	14	6	-	20	-	1
5	14	5	-	222	-	1

#	Corazón
1|2	10|11	7|12	-	20	-	1
5|6	11	5	-	20	-	1
4	11	6	-	20	-	1
4	11	5	-	20	-	1

#	Índice
3|4	7|8	6|11	-	20	-	1
5	8	6	-	20	-	1
4|6	8	5	-	20	-	1
3	8	5	-	222	-	1

#	Pulgar
13|16	2|3	8|10	-	20	-	1
#15	5|6	3	-	20	-	1
15	4	4	-	20	-	1
16	2	7	-	260	-	1
16	3|4	7	-	20	-	1
16	3	6	-	260	-	1
16	4	6	-	20	-	1
16	5	6	-	20	-	1
16	5	5	-	260	-	1
16	6|7	5	-	20	-	1
16	7	4	-	260	-	1

#Rampas y topes
13|16	5	7	12	257	-	1
13|16	4	7	3	-	-	-

13|16	4	8	12	257	-	1
13|16	3	8	3	-	-	-

16	8|16	6	11	256	-	1
15	8|16	6	3	-	-	-

5	7|8	7	11	256	-	1
4	7|8	7	3	-	-	-

4	10|11	7	11	256	-	1
3	10|11	7	3	-	-	-

3	10|11	8	11	256	-	1
2	10|11	8	3	-	-	-

5	13|14	7	11	256	-	1
4	13|14	7	3	-	-	-

6	16|17	7	11	256	-	1
5	16|17	7	3	-	-	-

#Tapas y junturas

#Deco
9|14	9|14	7	1	55	-	1
10|13	10|13	7	0	0	-	-
10|13	10|13	6	-	5	-	-

################################################################################
[F]
################################################################################

#Entradas
1	124	197	112	1
1	308	195	96	11

#Salidas
#tipo	x	y	z	w	d	h	entr	sala
2	319	192	96	1	16	1	2	171

#Marcas salidas
14	328	192	96	111

#Listones
14	96	265	168	52
14	48	180	210	52
14	67	240	188	58

#Árbol
14	182	182	112	127

14	188	188	220	115

14	198	185	212	115
14	208	185	220	115
14	218	175	226	115

14	198	190	212	115
14	206	200	218	115
14	212	204	222	115

14	183	198	220	115
14	180	208	225	115
14	181	218	230	117

14	198	198	220	115
14	208	208	224	117
14	218	218	228	115

14	180	174	200	115
14	183	174	220	117
14	188	164	222	115

14	174	181	210	115
14	164	181	216	115
14	154	181	222	115

14	174	174	210	117
14	186	200	210	117
14	194	171	210	115
14	164	164	210	115
14	162	196	210	117
14	164	182	210	115
14	185	167	210	115

14	179	206	230	115
14	204	201	230	117
14	205	170	230	115

14	170	155	218	115
14	156	197	218	117
14	155	162	218	115
14	180	218	218	115
14	162	209	218	117
14	199	214	218	115
14	220	186	218	115

14	225	167	218	115
14	190	150	218	117
14	210	150	218	115
14	210	160	218	117
14	180	230	218	115
14	196	225	218	115
14	166	225	218	115
14	156	215	218	117
################################################################################
[F]
################################################################################

#Cofre
#tipo	x	y	z	id_pz.
6	28	173	224	9

#Bonus
14	54	117	208	4
14	65	130	208	4
14	216	49	192	4
14	232	44	192	4
14	256	40	192	4
